a level	has a flat bottom, linear, measurable	has an ending point, has a starting point, has a defined width, has a defined depth, has a defined height, has a flat top
abandon	quit, abandoned, leaves	forsake, desertion, give up, abandon, forsaking, leaving behind, abandonment
abbey	church, historic landmark, architecture, tourist attraction	monastery, religious center, heritage site, ruins, bell tower, cloister
able	capable, talented, skilled, resourceful, agile, strong, resilient, efficient, adaptable	
abortion	ethical considerations, legal status, historical context	medical procedures, perspectives and opinions, social and cultural attitudes, religious views, global access and availability, public health implications
abroad	foreign, different, international, unfamiliar, exotic, new, travel, cultural	overseas
absolute	unvarying, immutable, self-sufficient, unchanging, eternal, enduring, persistent, stable, independent	
absurd	illogical, absurdity, ridiculous, unreasonable, frivolous, nonsensical, silly	inane, preposterous
academic	scholarly, research-oriented, teaching, curriculum, intellectual, learning, knowledgeable	education institution, academic discipline
academic institution	provides resources, conducts research, fosters collaboration	offers education, grants degrees, houses faculty, hosts students, promotes learning, upholds values, influences society
academician	publishes scholarly articles, academic integrity, awards and recognition	expert in academic field, teaches and conducts research, teaching and mentoring, academic credentials, scholarly contributions, interdisciplinary research, collaboration with peers
academy award	ceremony, directors, annual, established, outstanding, categories, actors	recognizes, films, 1929
accent	can be a source of pride, can be a source of identity	distinguishes speaker's language, influences how words are pronounced, can be regional or social, affects how language is perceived, can be learned or acquired, can be influenced by environment, can be a marker of social status, can be a source of misunderstandings
access code	non-transferable, alphanumeric, security features, time-bound, unique identifier	authorization granted, multiple uses allowed, confidentiality maintained, case-sensitive
access control	permissions, users, roles, authorization, enforcement mechanisms, restrictions, compliance	access levels, policies
access point	security measures, easy to use	wi-fi enabled, network signal strength, device compatibility, multiple devices supported, speed and performance, location-based access, reliability and stability
access road	may have traffic signals or signs	provides vehicular access to a location, may be a part of a larger road network, can be used for emergency vehicle access, may have limited access restrictions, can be a designated route for certain types of vehicles, may be located on the outskirts of a city or town, can be a major transportation artery, can be a key route for commuter traffic
access time	can be measured through various methods, can be affected by various factors	refers to the amount of time a user spends accessing a resource or service, measured in seconds or other time units, can be used to analyze user behavior and preferences, can impact website or application performance, can be used to optimize user experience, can be used to improve security measures, can be used to monitor and analyze user activity, can be used to enforce access controls
accident	causes injury or damage, unintentional, unexpected	can happen anywhere, can be caused by external factors, can be caused by human error, may involve vehicles, may result in legal consequences, can be traumatic for victims
accidental	coincidence, unintentional, luck, unforeseen, chance, unexpected	mistake, oops!, happy accident
acclaim	influence or impact	recognition for outstanding achievements, widespread admiration, public praise or approval, celebrity or fame, rewards or honors, prestige or esteem, momentum or buzz, praise or accolades
accomplishment	measurable: can be quantified or evaluated	definition: a notable achievement or success, positive: has a positive impact or outcome, personal: relates to individual efforts or goals, achievable: can be accomplished with effort and dedication, time-bound: has a specific time frame for completion, unique: stands out from others' achievements, scalable: can be applied to various situations or contexts, relevant: applicable to a particular field or industry, innovative: introduces new ideas or approaches
account executive	provides customer support, manages budgets	manages client accounts, develops sales strategies, builds client relationships, meets sales targets, negotiates contracts, coordinates marketing efforts, reports to management
account statement	provides detailed transaction history	contains financial transactions, indicates account balance, issued by financial institution, used for budgeting and financial planning, can be accessed online or through mobile app, may include fees and charges, may be used for tax purposes, can be used to track spending habits
accountability	answerability, follow-through, responsiveness, honesty, trustworthiness, transparency, responsibility, reliability	accountability to others
accounting	auditing, financial reporting, financial planning, budgeting, risk management	tax compliance, financial analysis, investment analysis, cost accounting
accuser	may be biased	alleges wrongdoing, makes accusations, may be a witness, may be a victim, may be a perpetrator, may be a bystander, may be unbiased, may be a liar, may be truthful
achievement	celebrated, rewarding, achievable, recognizable, time-bound, collaborative, inspiring, relevant, sustainable, measurable	
acid	weak, corrosive, flammable, odorless, hazardous, colorless, toxic, strong	can dissolve certain materials, reacts with water
acid rain	can have long-term effects on ecosystems	forms from sulfur dioxide and nitrogen oxides, can damage crops and aquatic life, contributes to acidification of soil and water, can harm human health, affects forests and wildlife, causes damage to buildings and infrastructure, results from burning fossil fuels, can be prevented by reducing emissions
acoustic	sound wave propagation, frequency range, wavelength, amplitude	resonance and standing waves, interference and diffraction, reflection and refraction, speed of sound, acoustic instruments
acquaintance	personal connection, social interactions, common interests, shared experiences, emotional support	knowledge of each other, trust and reliability, dependence on each other, long-term relationship
