facet_property	cluster_label
accommodation: hostel	0
features: accommodation	0
accommodation: hotel	0
accommodation: resort	0
brand: waldorf astoria	0
location: hotel	0
accommodation: cabin	0
achievements: first woman to lead an expedition	1
achievements: first woman to explore the grand canyon	1
influence: paved the way for women in exploration	1
category: pioneering woman	1
life events: discovered the grand canyon	1
awards: nba most valuable player	2
awards: nba finals mvp	2
achievements: 34,444 career points	2
achievements: 6-time nba champion	2
legacy: basketball legend	2
achievements: 5-time nba mvp	2
characteristics: acidity	3
acidity level: balanced	3
characteristics: acid-producing	3
chemical properties: high acidity	3
characteristics: specific ph	3
acidity level: high	3
acidity: high	3
acidity: medium	3
acidity: low	3
characteristics: specific ph range	3
properties: neutralizes acidity	3
acidity level: medium	3
properties: ph balanced	3
category: acidity	3
actions: charging	4
actions: begin	4
purpose: to initiate	4
related actions: press	4
actions: initiate	4
motion: initiation	4
action: start with	4
action: begin	4
process: action	4
action: initiate	4
actions: serve	4
process: initiate	4
actions: present	4
method: maceration	5
reactions: attacks	5
used for: fight	5
actions: attacks	5
actions: runs away	6
actions: roams free	6
reactions: runs away	6
behaviors: shedding	6
motivation: wants to escape	6
objective: escape	6
opposite action: let go	6
behavior: breaks fences	6
actions: flying	7
technique: gliding	7
action: catch	7
physical demands: jumping	7
actions: spinning	7
prevention: proper takeoff techniques	7
behavior: jumping	7
powers: flight	7
opposite action: drop	7
actions: driving	8
planning: buying gift	8
solutions: borrowing	8
activities: shopping	8
customs: finding a bean	8
actions: shopping	8
actions: trading	8
activity: shopping	8
behavior: buying souvenirs	8
functions: unloading	9
activity: unloading	9
activity: loading	9
activities: unloading	9
activities: loading	9
activities: warehousing	9
functions: loading	9
function: loading and unloading	9
purpose: loading	9
operations: unloading	9
operations: loading	9
purpose: unloading	9
solutions: budgeting	10
context: personal finance	10
activity: managing money	10
activity: making deals	10
activities: managing finances	10
solution: budgeting	10
activities: lending money	10
activities: managing assets	10
activities: trading stocks	10
activities: lending	10
activity: transferring	11
operations: import	11
operations: export	11
operations: cross product	11
operations: transshipment	11
function: export	11
operations: transferring	11
operations: warehousing	11
activity: transshipment	11
functions: transshipment	11
activity: photography	12
type: guided tour	12
activity: sightseeing	12
activities: sightseeing	12
features: sightseeing	12
purpose: sightseeing	12
activities: visiting attractions	12
notable for: tv appearances	13
origin: comedian	13
actor: comedy legend	13
notable for: film and television appearances	13
main character: magician	13
director: comedy mastermind	13
actors: buster keaton	13
common ingredients: spices	14
typical foods: spices	14
spices: cumin	14
spices: garlic	14
ingredient: spices	14
main ingredient: spices	14
filling: spices	14
spices: garam masala	14
associated with: spices	14
spices: coriander	14
pairing with: spices	14
component: spices	14
ingredients: other spices	14
part of: pumpkin pie spice	14
spices: turmeric	14
spice blend: spices	14
made from: spices	14
flavor profile: spices	14
ingredients: spices	14
main ingredients: spices	14
spices: galangal	14
components: spices	14
spices and herbs: fenugreek	14
spices and flavorings: curry powder	14
related concepts: spices	14
spices and seasonings: lemon grass	14
toppings: spices	14
spices and seasonings: ginger	14
seasoning: herbs	14
contents: spices	14
materials: spices	14
spices and seasonings: garlic	14
composition: spices	14
spices and seasonings: paprika	14
spices and seasonings: galangal	14
additional ingredients: spices	14
spices and herbs: garlic	14
substitutes: sour cream	15
commonly served with: sour cream	15
additional ingredients: sour cream	15
main ingredients: sour cream	15
composition: acid (such as cream of tartar)	15
ingredients: cream of tartar	15
flavor: sour cream	15
type: sour cream	15
ingredients: curdled sour cream	15
common accompaniment: sour cream	15
ingredient: sour cream	15
common accompaniments: sour cream	15
components: sour cream	15
filling options: sour cream	15
ingredients: sour milk	15
substitutes for: sour cream	15
used in: whipping cream	15
common pairing: sour cream	15
filling: sour cream	15
preparation: extracted from anchovies	15
main ingredient: sour cream	15
ingredients: sour cream	15
common flavors: salt	16
typical accompaniments: salt	16
made from: salt	16
scent: salt	16
toppings: salt	16
ingredients included: salt	16
taste: saltiness	16
prepared with: salt	16
flavor: salt	16
taste: salt	16
main ingredient: salt	16
common ingredients: salt	16
main ingredients: salt	16
ingredient: salt	16
ingredients list: salt	16
additional ingredients: salt	16
ingredients: salt	16
ingredients: sodium	16
filling: salt	16
commonly paired with: salt	16
flavor: saltiness	16
ingredients: iron	16
topping options: salt	16
common toppings: salt	16
opposite taste: salt	16
sources: table salt	16
made with: salt	16
ingredients: sea salt	16
topping: salt	16
age: aged	17
age group: adults	17
age group: anyone	17
type: adult	17
age: adult	17
age: young	17
died: 1970	17
production process: raised on beer diet	17
born: may 12, 1977	17
age: old	17
affected by: age	17
age: mature	17
age: 69	17
stage of growth: immature	18
common associations: kids	18
age range: 10+	18
age group: youth	18
age group: children	18
common associations: children	18
age group: toddler	18
preparation: gifted	18
age group: kids	18
age group: infant	18
type: children's show	19
format: animated series	19
origin: nickelodeon	19
category: animated series	19
broadcasting: disney channel	19
genre: children's television show	19
theme: toon	19
airing: disney channel	19
format: infomercials	19
availability: disney channel	19
availability: disney junior	19
broadcasting: disney junior	19
airing: disney junior	19
alcohol content: 5-6%	20
