concept	property	cluster_label
internal attribute	cannot be shared	22
internal attribute	hidden from view	22
internal attribute	cannot be seen	22
internal attribute	cannot be touched	22
internal attribute	cannot be broken	22
internal attribute	not visible to naked eye	22
internal attribute	invisible to human sight	22
internal attribute	cannot be moved	22
internal attribute	cannot be copied	22
keeping	holding onto something	21
keeping	not throwing something away	21
keeping	not giving something away	21
keeping	not losing something	21
keeping	retaining something	21
land vehicle	located in parking lots	20
parking garage	used for parking	20
department of transportation	responsible for parking	20
single traffic lane	used for parking	20
parking garage	have parking spots	20
land area	used for parks	20
ship compartment	have walls	19
light fixture	attached to ceiling	19
transit shelter	have roofs	19
transit shelter	have walls	19
ship compartment	have ceilings	19
transit shelter	have floors	19
ship compartment	have floors	19
canal system	longest in China	18
broad gauge railway	found in india	18
broad gauge railway	found in china	18
broad gauge railway	found in united states	18
standard gauge railway	found in africa	18
broad gauge railway	found in russia	18
fishing trawler	have crews	17
fish factory ship	has crew	17
research ship	have crew	17
fish factory ship	has captain	17
drilling ship	crewed by professionals	17
whaling ship	had crews	17
whaling ship	had captains	17
freighter	have crew	17
signalling	used in medicine	16
refrigerated compartment	used for pharmaceuticals	16
organic compound	used in medicines	16
refrigerated compartment	used for medicine	16
cubic foot	unit of volume	15
registry ton	unit of measurement	15
long ton	unit of weight	15
track gauge	measures width	15
cubic foot	used for measurement	15
long ton	used in measurements	15
registry ton	used in calculating weights	15
volume measure	measures space	15
mass measure	used for measuring	15
mass measure	units of grams	15
cargo container	have measurements	15
mass measure	units of kilograms	15
mass measure	precise measurements	15
cargo manifest	includes weights	15
terminal building	used for security checks	14
radar facility	used for surveillance	14
deepwater port	have security measures	14
international airport	have security checks	14
regulatory process	involves monitoring	14
commercial airport	have security checks	14
military watercraft	used for reconnaissance	14
gallery car	has security	14
parking garage	have security cameras	14
intentional process	directed	13
intentional process	goal-directed	13
intentional process	purposive	13
intentional process	goal-oriented	13
organizational process	involves goals	13
research ship	used for scientific research	12
glider airplane	used for research	12
drilling ship	used for research	12
signalling	used in science	12
cubic foot	used in science	12
volume measure	used in chemistry	12
scale test car	used in labs	12
mass measure	used for science	12
volume measure	used in physics	12
research ship	have scientists	12
research ship	have laboratories	12
tank car	used for chemicals	12
land area	measured in hectares	11
volume measure	measured in milliliters	11
volume measure	measured in cubic feet	11
volume measure	measured in cubic meters	11
track gauge	measured in millimeters	11
volume measure	measured in liters	11
land area	measured in square kilometers	11
cubic foot	equals 28.32 liters	11
land area	measured in acres	11
land area	measured in square meters	11
cab car	has meters	11
volume measure	measured in gallons	11
crew list	used for organization	10
relational attribute	used in grouping	10
set or class	used for grouping	10
relational attribute	used in sorting	10
set or class	used for categorization	10
land vehicle	used for recreation	9
propeller airplane	used for recreational purposes	9
fishing boat	used for recreation	9
water transportation system	used for recreation	9
watercraft	used for recreation	9
personal watercraft	used for recreation	9
passenger ship	have entertainment	9
electric device	used for entertainment	9
minivan	has entertainment systems	9
waterway junction	used for recreation	9
road vehicle	used for recreation	9
glider airplane	used for recreational purposes	9
motor scooter	used for recreation	9
animal powered vehicle	used for recreation	9
pier	used for recreation	9
electronic device	used for entertainment	9
transportation device	used for recreation	9
ocean liner	have entertainment	9
single traffic lane	has no opposite traffic	8
single traffic lane	has no median	8
flatcar	has no sides	8
single traffic lane	has no divider	8
glider airplane	has no propellers	8
single traffic lane	has no opposite lane	8
contract carrier	receive payment	7
bill of lading	contains payment details	7
parking garage	have payment systems	7
legal charge	amount of money	7
commercial agent	receives commissions	7
sea lane	subject to weather conditions	6
atmospheric region	has seasons	6
air traffic control procedure	used for weather	6
traffic control process	adjusts according to weather	6
deck cargo	exposed to weather	6
radar facility	used for weather forecasting	6
radar or sonar	used in weather forecasting	6
atmospheric region	has atmospheric phenomena	6
deck cargo	not protected from elements	6
air traffic control center	used for weather reports	6
research ship	used for studying climate	6
research ship	used for studying weather	6
atmospheric region	has weather patterns	6
department of transportation	responsible for public safety	5
glider airplane	used for aerodynamics	5
guiding	providing safety	5
navigation light	used for safety	5
scale test car	used for durability testing	5
scale test car	used for testing	5
scale test car	used for safety testing	5
air traffic control procedure	used for safety	5
scale test car	used for aerodynamics testing	5
navigation buoy	used for safety	5
traffic signal	used for safety	5
petroleum product pipeline	built for safety	5
scale test car	used for crash testing	5
petroleum product pipeline	built for durability	5
air traffic control center	used for safety	5
scale test car	used for ergonomics testing	5
traffic light	used for safety	5
offshore anchorage	requires safety equipment	5
track gauge	important for safety	5
crew list	used for safety	5
air traffic control tower	used for safety	5
emergency road vehicle	used for emergency	4
fire engine	used for emergencies	4
flight deck	used for emergencies	4
air traffic control center	used for emergency	4
offshore anchorage	used for emergencies	4
emergency vehicle	used for ambulance	4
signalling	used in emergency	4
fire boat	used for emergencies	4
road transportation system	used for emergency services	4
emergency road vehicle	used for ambulance	4
air traffic control procedure	used for emergencies	4
traffic control process	prioritizes emergency vehicles	4
portable bridge	used for emergency situations	4
minivan	has storage	3
fishing trawler	used for catching fish	3
pier	used for fishing	3
organic object	can be digested	3
fishing trawler	used for seafood	3
fishing trawler	have fishing gear	3
cargo container	used for storage	3
organic object	can be eaten	3
ship berth	used for storage	3
dangerous goods	stored in special facilities	3
ship compartment	used for storage	3
refrigerated compartment	used for food storage	3
terminal building	have restaurants	3
fish factory ship	used for seafood	3
fish factory ship	processes fish	3
ship hold	used for storage	3
fish factory ship	catches fish	3
fishing vessel	used for catching fish	3
organic compound	used in food	3
dining car	serves food	3
dining car	has menus	3
dining car	has waiters	3
watercraft	used for fishing	3
dining car	has meals	3
material handling equipment	used for storage	3
dining car	has breakfast	3
commercial shipping	used for refrigerated goods	3
ocean liner	have restaurants	3
fishing vessel	used for fishing	3
refrigerated compartment	used for storage	3
fishing boat	used for fishing	3
commercial airport	have restaurants	3
fishing boat	used for catching fish	3
mass measure	used for cooking	3
passenger ship	have restaurants	3
fishing boat	have storage for fish	3
chemical tanker ship	have special permits	2
cabotage	allowed with permits	2
transportation authority	issues permits	2
offshore anchorage	requires permits	2
regulatory process	involves permits	2
cab car	has special licenses	2
pier	used for docking	1
ship berthing	process of docking	1
pusher tug	used for undocking	1
petroleum tanker ship	have anchors	1
ship berthing	requires mooring	1
ship berthing	requires anchoring	1
passenger ship	have anchors	1
ship berth	used for mooring	1
pusher tug	used for docking	1
ship berth	used for anchoring	1
ship berth	used for docking	1
ship agent	helps with docking	1
ship deck	have anchors	1
truck tractor	used for transportation	0
truck tractor	used for hauling	0
material handling equipment	used in warehouses	0
material handling equipment	used in industries	0
material handling equipment	used for transportation	0
truck tractor	large vehicles	0
commercial airport	have gates	0
material handling equipment	mechanical devices	0
ship compartment	have doors	0
light fixture	electrical	0
material handling equipment	used for manufacturing	0
organizational process	involves communication	0
gallery car	has lights	0
ocean liner	used for vacations	0
material handling equipment	used for lifting	0
ocean liner	located in ports	0
light fixture	provide light	0
light fixture	located in rooms	0
waterway junction	used for commerce	0
waterway junction	used for transportation	0
ocean liner	used for long distance travel	0
light fixture	used for illumination	0
waterway junction	located in ports	0
material handling equipment	used for moving	0
lighter	small device	0
lighter	has ignition	0
lighter	used for fire starting	0
radar facility	used for navigation	0
port city	used for shipping	0
radar facility	located in airports	0
truck tractor	used for long distances	0
port city	used for trade	0
radar facility	used for military purposes	0
radar facility	used for air traffic control	0
traffic light	located in intersections	0
commercial airport	used for flights	0
radar facility	located in mountains	0
radar facility	used for monitoring	0
moving violation	done in highways	0
port city	have cargo	0
moving violation	done in public roads	0
moving violation	done in buses	0
moving violation	done in trucks	0
moving violation	done in cars	0
port city	located by water	0
electric motor	powered by electricity	0
electric motor	used in vehicles	0
broad gauge railway	used for passengers	0
lighter	has fuel	0
light fixture	require wiring	0
lighter	used for fire	0
truck tractor	have engines	0
truck tractor	have wheels	0
truck tractor	used for construction	0
ocean liner	used for cruises	0
broad gauge railway	used for cargo	0
ocean liner	used for transportation	0
truck tractor	used for farming	0
broad gauge railway	used for high speeds	0
broad gauge railway	used for heavy loads	0
truck tractor	used for heavy loads	0
broad gauge railway	tracks are wider	0
broad gauge railway	used for transportation	0
electric motor	converts electricity	0
light fixture	have bulbs	0
commercial airport	used for international travel	0
waterway junction	used for navigation	0
tugboat	located in shipyards	0
tugboat	have engines	0
tugboat	used for maritime	0
cargo container	used for shipping	0
transit terminal	located in cities	0
cargo container	used for transportation	0
transit terminal	used for buses	0
road transportation system	uses vehicles	0
bulk cargo	used for international trade	0
bulk cargo	carried by ships	0
road transportation system	uses roads	0
transit stop	have gates	0
transit stop	have signs	0
transit stop	have stops	0
bulk cargo	large quantities	0
long ton	used in industry	0
tugboat	used for construction	0
tugboat	used for navigation	0
water area	located in nature	0
road transportation system	used for daily commutes	0
ship compartment	used for passengers	0
ship compartment	used for cargo	0
tugboat	used for towing	0
ship compartment	located on ships	0
bulk cargo	used for economies	0
dangerous goods	regulated by laws	0
tugboat	located in harbors	0
bulk cargo	includes oil	0
road transportation system	maintained by infrastructure	0
road transportation system	uses signs	0
road transportation system	regulated by laws	0
road transportation system	managed by government	0
road transportation system	uses fuel	0
ship compartment	have windows	0
road transportation system	used for long trips	0
transit stop	have trains	0
transit stop	have buses	0
transit terminal	used for trains	0
transit stop	used for public transportation	0
transit terminal	located in downtown	0
fish factory ship	located in oceans	0
long ton	used in construction	0
water area	used for swimming	0
water area	used for drinking	0
water area	found in reservoirs	0
water area	found in ponds	0
water area	found in seas	0
waterway junction	where rivers meet	0
water area	found in rivers	0
long ton	used in shipping	0
water area	found in lakes	0
water area	found in oceans	0
water area	made of water	0
waterway junction	where canals meet	0
unpaved runway	located at airports	0
fish factory ship	used for export	0
unpaved runway	used for takeoff	0
canal lock	raises or lowers boats	0
transit stop	located along roads	0
canal lock	used for water management	0
cargo container	located in ports	0
canal lock	used for water conservation	0
canal lock	has water gates	0
canal lock	used for navigation	0
canal lock	located in canals	0
unpaved runway	used for landing	0
transit terminal	used for ferries	0
cargo container	have doors	0
cargo container	have wheels	0
moving violation	traffic offense	0
cargo container	used for international trade	0
canal lock	used for water level control	0
moving violation	done while moving	0
head end car	car with lights	0
vehicle crew	located in ships	0
dual gauge railway	used for border crossing	0
dual gauge railway	has different track widths	0
turbojet engine	used in airplanes	0
fixed bridge	used for traffic	0
fixed bridge	located in oceans	0
fixed bridge	located in rivers	0
fixed bridge	used for crossing	0
fixed bridge	connects two areas	0
flight schedule	used for planning trips	0
flight schedule	showing arrival and departure dates	0
flight schedule	showing flight numbers	0
flight schedule	showing layovers	0
dual gauge railway	used for freight transport	0
flight schedule	showing departure and arrival times	0
flight schedule	published by airlines	0
flight schedule	showing flight frequencies	0
