concept	property	cluster_label
crossbow	high accuracy	0
crossbow	low	0
bullet	accurate	0
bazooka	accurate	0
rifle	accurate	0
bazooka	effective	0
crossbow	accurate	0
hair dryer	cool shot	0
crossbow	accuracy	0
bazooka	accuracy	0
bazooka	accuracy	0
revolver	caliber	0
crossbow	accurate	0
bazooka	accurate	0
rifle	precise	0
crossbow	high	0
rifle	high	0
crossbow	variable	0
crossbow	medium	0
pistol	revolver	1
rifle	semi-automatic	1
bazooka	recoilless	1
rifle	bolt-action	1
bazooka	shoulder-fired	1
shotgun	semiautomatic	1
frisbee	sidearm	1
revolver	double-action	1
pistol	semi-automatic	1
pistol	semiautomatic	1
shotgun	semi-automatic	1
shotgun	slide-action	1
corkscrew	automatic	1
revolver	single-action	1
pistol	semiautomatic	1
pistol	semi-automatic	1
pistol	sidearm	1
revolver	double-action	1
revolver	magazine	1
rifle	semi-automatic	1
shotgun	semi-automatic	1
pistol	semi-automatic	1
gun	semi-automatic	1
rifle	semi-automatic	1
shotgun	break-action	2
crayon	breaks	2
whale	breach	2
shotgun	break-action	2
nylons	hold-ups	2
rattlesnake	strike	2
nylons	hold-ups	2
shotgun	break-action	2
spatula	flipping	2
grenade	trigger	3
pan	induction compatible	3
skillet	induction compatible	3
crossbow	release mechanism	3
grenade	pull pin	3
grenade	pull pin	3
grenade	pulling pin	3
grenade	lever	3
grenade	timer	3
grenade	flick	3
tricycle	adjustable seat	4
buggy	seat	4
canoe	seat	4
motorcycle	seat	4
canoe	one or more seats	4
airplane	seats	4
motorcycle	bucket	4
jet	comfortable seating	4
motorcycle	seat	4
jet	has seats	4
tricycle	wide seat	4
sled	seat	4
jet	seats	4
airplane	seats	4
bathtub	molded seat	4
tricycle	comfortable seat	4
sled	steering mechanism	5
skateboard	braking system	5
sled	braking system	5
piano	pedals	5
motorcycle	brakes	5
kite	brakes	5
tricycle	brakes	5
motorcycle	suspension	5
buggy	brakes	5
tricycle	pedals	5
buggy	suspension	5
baseball bat	coach	5
sled	steering	5
sled	brakes	5
boat	steering wheel	5
sled	braking	5
tricycle	brakes	5
tricycle	brake system	5
tricycle	pedals	5
motorcycle	disc brakes	5
motorcycle	drum brakes	5
sled	brake	5
crayon	adults	6
buggy	adults	6
tricycle	adults	6
toy	adult	6
toy	adult	6
tricycle	adults	6
toy	adults	6
frisbee	adults	6
seal	adults	6
lamb	newborn	7
motorcycle	child	7
crayon	children	7
buggy	children	7
tricycle	children	7
toy	toddler	7
toy	child	7
toy	child	7
toy	infant	7
tricycle	children	7
lamb	immature	7
crayon	infants	7
lamb	young	7
lamb	baby	7
dove	innocence	7
bull	young	7
doll	nursery	7
skateboard	child	7
toy	infant	7
toy	children	7
tricycle	elderly	8
cheese	long	8
cheese	yes	8
cheese	no	8
cheese	short	8
cigar	old age	8
jet	wing	9
jet	cockpit	9
jet	cockpit	9
jet	air traffic control	9
jet	flight deck	9
helicopter	cockpit	9
jet	cockpit	9
airplane	cockpit	9
balloon	aircraft component	9
helicopter	aircraft body	9
canoe	cockpit	9
jet	cockpit	9
airplane	cockpit	9
bazooka	rocket	10
bullet	ammunition	10
crossbow	projectiles	10
crossbow	bolts	10
bullet	ammunition	10
crossbow	arrow	10
crossbow	bolt	10
shotgun	ammunition	10
shotgun	buckshot	10
shotgun	pellets	10
grenade	ordnance	10
rocket	ballistic	10
pistol	ammunition	10
shotgun	slug	10
revolver	ammunition	10
bazooka	ammunition	10
rifle	bullet	10
crossbow	arrows	10
razor	cartridge	10
bazooka	missile	10
rifle	cartridge	10
balloon	punctures easily	10
cannon	projectile	10
missile	ballistic	10
bullet	projectile	10
bazooka	shell	10
rifle	shell	10
grenade	projectile	10
lion	large size	11
peacock	large	11
crow	large	11
bull	large	11
eagle	large	11
tiger	large size	11
bear	large size	11
swan	large size	11
bull	large size	11
walrus	large size	11
turkey	large size	11
goose	large size	11
whale	large animal	11
cow	large	11
cow	large size	11
walrus	large	11
walrus	large size	11
flamingo	large	11
swan	large	11
cow	large size	11
crocodile	large animal	11
owl	large round head	11
crocodile	large predator	11
bear	large mammal	11
whale	large creature	11
eagle	majestic	11
peacock	large size	11
walrus	large	11
walrus	large body	11
alligator	large animals	11
owl	large head	11
swan	majestic	11
walrus	large size	11
chicken	poultry	12
owl	birds	12
rattlesnake	birds	12
hawk	birds	12
eagle	birds	12
falcon	birds	12
pigeon	poultry	12
chicken	poultry farm	12
duck	poultry	12
peacock	poultry	12
chicken	poultry	12
duck	egg production	12
goose	egg production	12
peacock	poultry	12
turkey	poultry	12
chicken	animal	13
crab	animal	13
bear	animal	13
cheetah	animal	13
tiger	animal	13
bird	animal	13
dolphin	highly intelligent	13
octopus	highly intelligent	13
crow	highly intelligent	13
crow	social	13
eel	no scales	13
dolphin	social	13
