concept	facet	property	facet_property
pure mathematics	abstraction level	axiomatic	abstraction level: axiomatic
pure mathematics	abstraction level	abstract	abstraction level: abstract
marine archeology	academic discipline	anthropology	academic discipline: anthropology
marine archeology	academic discipline	archeology	academic discipline: archeology
ethnography	academic discipline	sociology	academic discipline: sociology
sumerology	academic discipline	social sciences	academic discipline: social sciences
egyptology	academic discipline	history	academic discipline: history
egyptology	academic discipline	anthropology	academic discipline: anthropology
egyptology	academic discipline	archaeology	academic discipline: archaeology
assyriology	academic discipline	historical	academic discipline: historical
assyriology	academic discipline	linguistic	academic discipline: linguistic
ethnology	academic discipline	humanities	academic discipline: humanities
ethnology	academic discipline	social sciences	academic discipline: social sciences
marine archeology	academic discipline	history	academic discipline: history
ethnography	academic discipline	social sciences	academic discipline: social sciences
ethnography	academic discipline	anthropology	academic discipline: anthropology
ethnography	academic discipline	cultural studies	academic discipline: cultural studies
kinesiology	academic discipline	science	academic discipline: science
kinesiology	academic discipline	health sciences	academic discipline: health sciences
kinesiology	academic discipline	education	academic discipline: education
structuralism	academic discipline	literary theory	academic discipline: literary theory
structuralism	academic discipline	linguistics	academic discipline: linguistics
assyriology	academic discipline	archaeological	academic discipline: archaeological
structuralism	academic discipline	social sciences	academic discipline: social sciences
structuralism	academic discipline	literary criticism	academic discipline: literary criticism
structuralism	academic discipline	philosophy	academic discipline: philosophy
sumerology	academic discipline	humanities	academic discipline: humanities
structuralism	academic discipline	humanities	academic discipline: humanities
structuralism	academic discipline	anthropology	academic discipline: anthropology
ethnology	academic field	anthropology	academic field: anthropology
criminology	academic field	social sciences	academic field: social sciences
sociology	academic field	social sciences	academic field: social sciences
criminology	academic field	study of crime	academic field: study of crime
social anthropology	academic field	human culture	academic field: human culture
social anthropology	academic field	anthropology	academic field: anthropology
social anthropology	academic field	social sciences	academic field: social sciences
assyriology	academic field	historical research	academic field: historical research
assyriology	academic field	study of ancient mesopotamia	academic field: study of ancient mesopotamia
sociology	academic field	study of human behavior	academic field: study of human behavior
ethnography	academic field	social sciences	academic field: social sciences
ethnography	academic field	anthropology	academic field: anthropology
ethnology	academic field	social sciences	academic field: social sciences
paleoethnography	academic field	anthropology	academic field: anthropology
paleoethnography	academic field	archaeology	academic field: archaeology
ethnology	academic field	cultural studies	academic field: cultural studies
ethnography	academic field	sociology	academic field: sociology
assyriology	academic focus	research institute	academic focus: research institute
assyriology	academic focus	university	academic focus: university
