concept	property	cluster_label
riesling	balanced	0
alsatian wine	high	0
riesling	high	0
wine flavor	high	0
dry white wine	high	0
cabernet sauvignon	high	0
white burgundy	high	0
muscadet	high	0
chenin blanc	high	0
merlot	medium	0
german wine	medium	0
chardonnay	medium	0
alsatian wine	medium	0
pinot blanc	medium	0
cabernet sauvignon	medium	0
riesling	medium	0
wine taste	low	0
german wine	high	0
pinot blanc	high	0
chenin blanc	high	0
wine taste	high	0
muscadet	high	0
white table wine	high	0
chianti	high	0
sauvignon blanc	high	0
wine taste	high	0
wine descriptor	high	0
dry riesling	high	0
dry wine	high	0
wine flavor	high	0
white bordeaux	high	0
white burgundy	high	0
dry wine	high	0
riesling	high	0
riesling	low	0
alsace wine	high	0
wine flavor	low	0
riesling	medium	0
dry wine	medium	0
sauvignon blanc	medium	0
wine flavor	medium	0
wine descriptor	medium	0
dry riesling	refreshing	0
wine taste	medium	0
wine taste	balanced	0
dry riesling	medium high	0
dry riesling	medium-high	0
dry wine	medium	0
wine descriptor	acidity	0
wine taste	balanced	0
alsace wine	balanced	0
petite syrah	balanced	0
petite syrah	medium	0
chianti	medium	0
wine taste	low	0
chardonnay	low	0
merlot	low	0
pinot blanc	low	0
alsace wine	high acidity	0
cabernet sauvignon	medium to high	0
chenin blanc	low	0
white table wine	low	0
white table wine	medium	0
alsatian wine	low	0
riesling	low	0
petite syrah	low	0
dry wine	low	0
wine flavor	low	0
dry wine	high	0
chenin blanc	medium	0
wine descriptor	low	0
loire	picnicking	1
loire	fishing	1
loire	boating	1
loire	boating	1
tours	outdoor activities	1
loire	popular for boating	1
tours	boating	1
port	storing	2
port	distribution	2
port	storage	2
port	storage	2
late harvest	storing	2
ice wine	special storage	2
port	handling	2
port	shipping	2
port	transshipping	3
port	unloading	3
port	cargo handling	3
port	loading	3
port	unloading	3
port	unloading	3
port	loading	3
wine color	appearance	4
wine color	taste	4
wine color	aroma	4
wine color	affects taste	4
wine color	affects smell	4
wine color	by taste	4
wine taste	lingering	5
wine descriptor	aftertaste	5
wine taste	unpleasant	5
wine taste	pleasant	5
st emilion	young	6
late harvest	mature	6
late harvest	mature	6
dry red wine	young	6
chianti	young	6
chardonnay	young	6
red burgundy	young	6
italian wine	young	6
wine flavor	young	6
red wine	young	6
zinfandel	young	6
chardonnay	mature	6
red wine	vintage	6
italian wine	vintage	6
chardonnay	vintage	6
wine flavor	old	6
dry wine	mature	6
dry wine	young	6
dry red wine	mature	6
red burgundy	mature	6
red wine	mature	6
italian wine	mature	6
medoc	can be aged for decades	7
cabernet sauvignon	can be aged for years	7
meursault	can be aged for years	7
white burgundy	ages well	7
pauillac	can be aged	7
red burgundy	can be aged	7
ice wine	aged for years	7
full bodied wine	aged for years	7
red bordeaux	can be aged for years	7
full bodied wine	complex flavor	8
full bodied wine	complex flavor profile	8
ice wine	complex flavor	8
full bodied wine	complex flavor profile	8
red burgundy	aged	9
french wine	aged	9
chianti	aged	9
pauillac	aged	9
consumable thing	prepared	9
wine flavor	aged	9
chianti	aged	9
chardonnay	aged	9
margaux	aged for several years	9
italian wine	aged	9
sauterne	aged	9
dry red wine	aged	9
french wine	mature	9
margaux	long-aged	9
st emilion	aged	9
zinfandel	aged	9
dry wine	aged	9
wine flavor	strong	9
medoc	improves with age	10
pauillac	improves with age	10
red burgundy	improves with age	10
pauillac	oaky	10
chianti	medium	10
chenin blanc	dependent on climate	10
sauvignon blanc	grass-cutting	10
