concept	facet	property
aid to navigation	functionality	emitting light
aid to navigation	placement	at a landmark
aid to navigation	placement	at a hazard
aid to navigation	placement	in a specific location
aid to navigation	used for	driving
aid to navigation	characteristics	mechanical
aid to navigation	function	marking hazard
aid to navigation	used for	fishing
aid to navigation	physical properties	magnetic
aid to navigation	physical properties	visible
aid to navigation	physical properties	audible
aid to navigation	used for	flying
aid to navigation	physical properties	electronic
aid to navigation	function	assists in orientation
aid to navigation	function	indicating safe route
aid to navigation	physical form	tower
aid to navigation	used for	land navigation
aid to navigation	physical form	buoy
aid to navigation	function	marks danger
aid to navigation	function	showing direction
aid to navigation	physical form	chart
aid to navigation	physical form	electronic device
aid to navigation	function	providing warning
aid to navigation	used for	aviation
aid to navigation	physical characteristics	audible
aid to navigation	used for	shipping
aid to navigation	characteristics	movable
aid to navigation	visibility	invisible
aid to navigation	visibility	night
aid to navigation	visibility	electronic
aid to navigation	visibility	visible with binoculars
aid to navigation	technology	electronic
aid to navigation	technology	satellite-based
aid to navigation	technology	optical
aid to navigation	example	buoy
aid to navigation	used for	boating
aid to navigation	example	gps device
aid to navigation	used for	maritime navigation
aid to navigation	visibility	visible from a distance
aid to navigation	function	indicates safe route
aid to navigation	function	showing magnetic field
aid to navigation	function	indicates safe passage
aid to navigation	function	shows route
aid to navigation	used for	air navigation
aid to navigation	function	assists in navigation
aid to navigation	function	providing direction
aid to navigation	characteristics	radioactive
aid to navigation	characteristics	stationary
aid to navigation	used for	swimming
aid to navigation	example	lighthouse
aid to navigation	shape	pyramidal
aid to navigation	physical characteristics	electronic
aid to navigation	function	assisting navigation
aid to navigation	mode of operation	electromagnetic
aid to navigation	accuracy	high
aid to navigation	characteristics	manual
aid to navigation	mode of operation	visual
aid to navigation	accuracy	low
aid to navigation	maintenance	urgent
aid to navigation	location	aircraft
aid to navigation	location	coastline
aid to navigation	location	spacecraft
aid to navigation	used for	aerial navigation
aid to navigation	mode of operation	radio
aid to navigation	location	waterway
aid to navigation	location	harbor
aid to navigation	location	airport
aid to navigation	usage	marine
aid to navigation	characteristics	electromagnetic
aid to navigation	used for	finding one's location
aid to navigation	maintenance	periodic
aid to navigation	used for	piloting an aircraft
aid to navigation	location	sea
aid to navigation	used for	avoiding collisions
aid to navigation	used for	traveling
aid to navigation	characteristics	printed
aid to navigation	physical characteristics	visible
aid to navigation	mode of operation	electronic
aid to navigation	used for	rescue
aid to navigation	physical characteristic	electromagnetic
aid to navigation	physical characteristic	illuminated
aid to navigation	physical characteristic	tall
aid to navigation	physical characteristic	fixed structure
aid to navigation	physical characteristic	buoyant
aid to navigation	physical characteristic	towering
aid to navigation	physical characteristic	electronic
aid to navigation	physical characteristic	portable
aid to navigation	physical characteristic	visible
aid to navigation	physical characteristic	audible
aid to navigation	function	indicating danger
aid to navigation	physical appearance	floating object
aid to navigation	physical appearance	visible
aid to navigation	physical appearance	invisible
aid to navigation	physical appearance	map
aid to navigation	physical appearance	electronic device
aid to navigation	physical appearance	tall structure
aid to navigation	function	electronic
aid to navigation	function	visible
aid to navigation	function	electromagnetic
aid to navigation	characteristics	paper-based
aid to navigation	used for	navigating
aid to navigation	function	providing location
aid to navigation	location	river
aid to navigation	used for	sailing
aid to navigation	usefulness	optional
aid to navigation	purpose	indicating safe routes
aid to navigation	features	providing information
aid to navigation	features	display
aid to navigation	purpose	marking hazards
aid to navigation	purpose	convenience
aid to navigation	used by	sailors
aid to navigation	used by	travelers
aid to navigation	used by	pilots
aid to navigation	used by	campers
aid to navigation	used by	mariners
aid to navigation	features	sound
aid to navigation	used by	hikers
aid to navigation	information provided	direction
aid to navigation	purpose	ensuring safety
aid to navigation	information provided	distance
aid to navigation	purpose	efficiency
aid to navigation	purpose	warning
aid to navigation	information provided	position
aid to navigation	purpose	informing
aid to navigation	purpose	guiding
aid to navigation	purpose	preventing accidents
aid to navigation	purpose	assisting navigation
aid to navigation	type	compass
