person	flexible, intelligent, social, emotional
group	flexible, open-ended, social, collaborative, diverse
organization	scalable, teamwork, communication, management, structure
location	location, geography, coordinates, coordinates, latitude, longitude, address, distance, time, size
entity	scalable, independent, intangible, self-aware, immutable, abstract, has a name, real-time, digital, self-sufficient, social
time	flexible, measurable, relative, finite, objective, constant, universal
object	flexible, solid, movable, has a name, can be used for various purposes, can be found in different locations, can be used for work, can be used for decoration, can be used for entertainment, can be used for transportation, can be stored, can be repaired, can be used for various purposes, can be used for recreation, can be found in different sizes, can be used for work, can be made of various materials, can be found in different locations, can be used for transportation, can be used for decoration, can be used for entertainment, can be used for therapy, can be customized, can be used for self-defense, can be used for protection, can be used for creative expression, can be made of various materials, can be used for both personal use, can be used for work, can be stored, can be used for transportation, can be shared, can be used for recreation, can be used for decoration, can be found in different sizes, can be used for therapy, can be used for self-defense, can be used for entertainment, can be made of various materials, can be used for various purposes, can be used for work, can be found in different locations, can be used for personal use, can be used for protection, can be used for communication, can be made of various materials, can be used for transportation, can be used for self-care, can be used for decoration, can be used for therapy, can be used for entertainment, can be used for education, can be used for personal development, can be used for work, can be made of various materials, can be used for recreation, can be used for therapy, can be used for self-care, can be used for communication, can be used for transportation, can be used for personal use, can be found in different sizes, can be used for protection, can be used for creative expression, can be used for socializing, can be used for both personal use, can be used for work, can be used for entertainment, can be used for therapy, can be used for self-defense, can be used for education, can be used for personal development, can be used for transportation, can be used for decoration, can be used for various purposes, can be used for work, can be found in different locations, can be used for communication, can be used for self-care, can be used for recreation, can be used for entertainment, can be used for therapy, can be used for personal use, can be used for protection, can be made of various materials, can be used for transportation, can be used for socializing, can be used for various purposes, can be used for work, can be used for entertainment, can be used for education, can be used for personal development, can be used for self-care, can be used for creativity, can be used for self-defense, can be used for communication, can be used for therapy, can be used for socializing, can be used for different purposes, can be used for work, can be used for personal use, can be found in different locations, can be used for recreation, can be used for entertainment, can be used for therapy, can be used for self-care, can be used for protection, can be made of various materials, can be used for transportation, can be used for education, can be used for personal development, can be used for work, can be used for decoration, can be used for various purposes, can be used for work, can be used for entertainment, can be used for personal use, can be found in different sizes, can be used for self-defense, can be used for creativity, can be used for communication, can be used for therapy, can be used for socializing, can be used for different purposes, can be used for work, can be used for personal use, can be used for protection, can be made of various materials, can be used for transportation, can be used for education, can be used for entertainment, can be used for personal use, can be used for self-care, can be used for creativity, can be used for work, can be used for decoration, can be used for various purposes, can be used for work, can be used for entertainment, can be used for therapy, can be used for self-defense, can be used for communication, can be used for personal use, can be found in different locations, can be used for recreation, can be used for socializing, can be used for different purposes, can be used for work, can be
event	flexible, public, social, time-based, organized, recurring, location
place	location, geography, architecture, culture, history, land
accident	fast, sudden, unexpected, medical, unpredictable
actor	flexible, creative, communication, teamwork
agency	flexible, independent, decision-making, government, financial, legal
airline	fast, transportation, travel, large
airplane	flexible, lightweight, has wings, man-made, transportation
airport	flexible, public, outdoor, transportation, travel
animal	flexible, social, intelligent, can be trained, can be trained, can be used for work, can be small, can be used for transportation, can be used for entertainment, can be trained
architect	flexible, creative, design, building, structure
army	flexible, large, organized, government, defense
art	flexible, creative, beautiful, historical
artist	flexible, creative, independent, passionate
athlete	flexible, agility, strength, endurance, size
attack	flexible, agile, quick, sudden, short, powerful
author	creative, writing, education, history
award	flexible, public, tangible, unique, recognizable, transparent
biology	scientific, living, nature, diverse
body part	flexible, movable, living, organism, human
bridge	flexible, structure, water, transportation
broadcast	flexible, real-time, live, audio, video, communication
broadcast station	flexible, local, online, public, radio, television
building	flexible, durable, structure, large
car	fast, large, small, luxury, fuel, transportation
cemetery	educational, historical, outdoor, peaceful
chemistry	scientific, physical, mathematical, biological, physical
city	flexible, residential, cultural, urban, residential
coach	flexible, motivational, supportive, educational
company	flexible, global, limited, local, small, large
computer	flexible, portable, programmable, digital, user-friendly, multi-functional
conflict	emotional, negative, complex, complex, conflict
country	flexible, government, location, size, international
county	educational, administrative, political, government, location
currency	flexible, standardized, digital, limited, physical, universal
degree	flexible, measurable, educational, scientific, social, formal
department	flexible, organization, management, small, large
director	creative, responsible, responsible, experienced
disease	flexible, contagious, chronic, treatable, viral, communicative, preventative, seasonal, public
doctor	medical, professional, healthy, intelligent
drug	flexible, treatable, medical, illegal, prescription, addictive, personal
education	flexible, online, learning, interactive, open-ended, accessibility, age, communication
election	flexible, open, transparent, democratic, fair, government, political
engineer	flexible, problem-solving, teamwork, creative
ethnic group	flexible, cultural, diverse, social, specific, large
facility	flexible, public, building, indoor, outdoor, government
film	educational, informative, creative, entertainment
finance	flexible, global, investment, market, management, risk
food	educational, cultural, nutritious, seasonal, sustainable
game	educational, interactive, competitive, fun
geography	location, culture, land, natural resources, physical, political, social
god	omnipotent, eternal, immutable, all-powerful, omnipotent, divine, worship, religion, mythology, belief
government	flexible, makes decisions, public, entity, law, community
health	flexible, mental, physical, emotional
heritage	educational, cultural, historical, traditional
holiday	flexible, cultural, social, outdoor, celebration
hospital	medical, treatment, patient, healthcare
hotel	flexible, comfortable, luxurious, clean, location
institution	flexible, organization, government, education, group, community
