concept	property	cluster_label
individual	musical	0
individual	artistic	0
individual	athletic	0
individual	creative	0
all-round	artistic	0
gymnast	artistic	0
individual	can learn	1
individual	intelligent	1
individual	can create	1
individual	can learn	1
individual	can set goals	1
individual	can learn	1
individual	can learn	1
all-rounder	excels in multiple areas	2
all-round	skilled in multiple areas	2
all-rounder	good at multiple sports	2
all-round	skilled in multiple sports	2
all-round	talented in multiple areas	2
all-round	good in multiple subjects	2
decathlon	specialized in multiple events	2
all-rounder	success in multiple fields	2
all-rounder	person who excels in multiple fields	2
walk	water bottle	3
pairs	matching accessory	3
walk	umbrella	3
walk	umbrella	3
walk	shoes	3
walk	hat	3
air rifle	highly accurate	4
rapid fire pistol	medium	4
air rifle	medium	4
air pistol	highly accurate	4
rapid fire pistol	high	4
air rifle	high	4
air pistol	high	4
air rifle	low	4
rapid fire pistol	low	4
super g	best technique	5
medal winners	best performance	5
medal winners	most improved	5
medal winners	historic win	5
medal winners	overcoming adversity	5
medal winners	first-time winner	5
medal winners	best performance	5
women's team	champion	6
women's team	participant	6
medal winners	second place	6
medal winners	first place	6
medal winners	third place	6
women's team	runner-up	6
medal winners	highest jump	7
super g	fastest time	7
medal winners	fastest time	7
medal winners	fastest time	7
medal winners	highest score	7
medal winners	team victory	7
medal winners	highest score	7
pole vault	fastest time	7
medal winners	most points	7
medal winners	most goals	8
medal winners	most goals scored	8
all-rounder	record-breaking performances	9
all-rounder	record-breaking	9
pole vault	record-breaking	9
long jump	record-breaking	9
medal winners	record holder	9
all-rounder	records	9
athlete	breaking records	9
medal winners	record-breaking	9
medal winners	setting a new record	9
athlete	record	9
athlete	setting records	9
all-rounder	century scorer	10
medal winners	repeat champion	10
all-rounder	grand slam winner	10
all-rounder	try scorer	10
all-rounder	hat-trick taker	10
all-rounder	championships	11
all-round	success	11
all-rounder	multiple awards	11
athlete	winning competitions	11
all-rounder	awards	11
all-round	awards	11
all-round	recognition	11
all-rounder	team success	11
skiff	sailing	12
skiff	sailing	12
dinghy	sailing	12
skiff	fishing	12
heavyweight dinghy	sailing	12
aquatics	fishing	12
dinghy	sailing	12
dinghy	fishing	12
aquatics	boating	12
aquatics	surfing	12
heavyweight dinghy	sailing	12
heavyweight dinghy	sailing	12
keelboat	sailing	12
keelboat	sailing	12
dinghy	sailing	12
skiff	cruising	12
volleyball	recreational	13
cycling	recreational	13
diving	recreational	13
pursuit	hobby	13
keelboat	recreational	13
heavyweight dinghy	recreational	13
cross country skiing	recreational	13
dinghy	recreational	13
springboard	recreational	13
skiing	recreational	13
cycling	recreational	13
athlete	recreational sport	13
diving	recreational	13
walk	leisure activity	13
skeet	recreational activity	13
women's team	recreational	13
diving	recreational activity	13
archery	recreational activity	13
sailing	recreational activity	13
skating	recreational activity	13
figure skating	recreational activity	13
windsurfer	recreational activity	13
trampoline	recreational	13
cycling	recreational	13
skiff	recreational	13
skiff	recreational	13
downhill	leisure	13
diving	recreational activity	13
cycling	leisure	13
pursuit	activity undertaken for pleasure	13
dinghy	recreational sailing	13
cycling road	recreational	13
keelboat	recreational	13
springboard	recreational	13
dinghy	recreational	13
cycling	recreation	13
winter sport	social event	13
participates in	recreational	13
athlete	recreation	13
cycling	recreational	13
walk	leisure	13
swimmer	recreational	13
skiff	recreational sailing	13
walk	recreational	13
sailing	recreational	13
downhill	recreational	13
skating	recreational	13
cycling	recreational	13
archery	recreational	13
cycling track	recreational	13
diving	recreational	13
windsurfer	water sports	14
swimmer	aquatic sports	14
synchronized springboard	water sports	14
diving	swimming	14
windsurfer	water sport	14
diving	water sport	14
swimmer	water sport	14
dinghy	water sports	14
dinghy	water sports	14
sailing	water sport	14
diving	underwater	14
springboard	water sports	14
springboard	water sports	14
aquatics	water sports	14
sailing	water sport	14
sailing	water	14
swimmer	water	14
dinghy	water sports	14
synchronized springboard	aquatic sport	14
springboard	water sports	14
fencing	garden maintenance	15
skating	exercise	15
gymnast	exercise	15
cycling	exercise	15
swimmer	exercise	15
walk	exercise	15
walk	physical exercise	15
horizontal bar	exercise	15
downhill	running	15
athlete	running	15
cycling	exercise	15
athlete	gym	15
walk	physical	15
skiing	physical	15
trampoline	exercise	15
taekwondo	exercise	15
men's team	training	15
walk	exercise	15
trampoline	practicing	15
men's team	practicing	15
trampoline	playing	15
men's team	playing	15
skating	exercise	15
walk	exercise	15
horizontal bar	exercise	15
parallel bars	exercise	15
gymnast	physical activity	15
walk	physical activity	15
swimmer	training	15
equestrian	training	15
athlete	training	15
weightlifting	exercise	15
equestrian	riding	16
downhill	biking	16
downhill	hiking	16
downhill	riding	16
downhill	biking	16
summer sport	cycling	16
downhill	hiking	16
fencing	camping	16
fencing	hiking	16
downhill	biking	16
keelboat	cruising	16
men's team	basketball	17
pursuit	sport	17
participates in	sport	17
cycling	sport	17
gymnast	sport	17
track and field	athletic	17
track and field	athletic	17
athlete	sports	17
springboard	water polo	17
heavyweight dinghy	rowing	17
hurdles	athletics	17
pursuit	game	17
participates in	game	17
pairs	sports	17
gymnast	athletic	17
archery	competitive sport	17
figure skating	competitive sport	17
sailing	competitive sport	17
diving	competitive sport	17
gymnast	athletics	17
fencing	fencing sport	17
bobsleigh	competitive	18
pursuit	interest	18
participates in	championship	18
equestrian	competing	18
participates in	event	18
swimmer	competing	18
swimmer	pool	18
athlete	lifting	18
sailing	competitive	18
men's team	competing	18
downhill	competitive	18
pursuit	job	18
cycling	competitive	18
skating	competitive	18
archery	competitive	18
diving	competitive	18
downhill	adventure	18
participates in	competition	18
athlete	competition	18
swimmer	competition	18
participates in	tournament	18
diving	competitive	18
equestrian	horse riding	19
equestrian	horse breeding	19
race	horseback	19
equestrian	horse care	19
fencing	horse riding	19
equestrian	horseback riding	19
keelboat	fishing	19
heavyweight dinghy	fishing	19
equestrian	horse training	19
modern pentathlon	horse riding	19
skiing	intense	20
cycling	leisurely	20
cycling	leisurely	20
walk	leisurely	20
skating	competitive	20
skiing	relaxed	20
skating	professional	20
skating	recreational	20
skiing	exhilarating	20
skating	leisure	20
cross country skiing	recreational	21
pursuit	hobby	21
cycling	competitive	21
pursuit	hobby	21
pursuit	hobby	21
pursuit	lifestyle	21
cycling	recreational	21
ice dancing	performance art	21
skiing	physical exercise	21
pursuit	job	21
skiing	hobby	21
skiing	recreational activity	21
sailing	recreational activity	21
synchronized swimming	performance art	21
aquatics	gills	22
aquatics	gills	22
aquatics	fins	22
aquatics	scales	22
mixed team	enhanced creativity	23
aerials	reliable signal	23
aerials	widespread coverage	23
backstroke	easy to learn	23
mixed team	enhanced creativity	23
mixed team	increased creativity	23
mixed team	better problem solving	23
air rifle	bbs	24
air rifle	pellets	24
air rifle	airsoft	24
air rifle	screws	24
rapid fire pistol	round	24
rapid fire pistol	cartridges	24
air pistol	ammunition	24
biathlon	amunition	24
biathlon	ammo	24
rapid fire pistol	bullet	24
all round	coin	24
rapid fire pistol	bullets	24
pairs	solitary	25
pairs	singles	25
butterfly	colorful	26
butterfly	monochromatic	26
butterfly	delicate	26
athlete	fit	26
pommel horse	modern design	26
butterfly	colorful	26
butterfly	colorful	26
horizontal bar	flat	26
vault	stone	26
vault	modern	26
synchronized platform	databases	27
synchronized platform	database-driven	27
synchronized platform	operating systems	27
synchronized platform	databases	27
synchronized platform	file systems	27
synchronized platform	banking system	28
synchronized platform	financial transactions	28
synchronized platform	financial transactions	28
vault	banking	28
synchronized platform	pessimistic	29
synchronized platform	optimistic	29
olympic sport	pool	30
olympic sport	field	30
olympic sport	track	30
speed skating	oval	30
olympic sport	court	30
luge	ice track	30
speed skating	racing	30
summer sport	track	30
track and field	track	30
athletics	track	30
olympic sport	track	30
race	circuit	30
olympic sport	ice	30
race	track	30
olympic sport	track	30
backstroke	pulling	31
backstroke	straight	31
breaststroke	simultaneous	31
breaststroke	forward and upward	31
backstroke	pull	31
breaststroke	pulling	31
breaststroke	scissor-like	31
breaststroke	forward motion	31
breaststroke	alternating	31
backstroke	alternating	31
backstroke	back	31
breaststroke	pulling motion	31
rhythmic gymnastics	musicality	32
rhythmic gymnastics	costume design	32
ice dancing	artistic expression	32
synchronized swimming	artistic expression	32
rhythmic gymnastics	expression	32
rhythmic gymnastics	interpretation	32
individual event	personal growth	33
pursuit	work	33
pursuit	personal growth	33
pursuit	hobby	33
pursuit	relationship	33
vault	banking	34
vault	banks	34
vault	treasure hunting	35
vault	treasure hunters	35
vault	military	36
hurdles	military personnel	36
vault	secret societies	37
pole vault	concussion	38
medal winners	young	38
nordic combined	two parts	38
aquatics	ecological balance	38
snowboard cross	bravery	38
medal winners	inspirational story	38
men's team	experience	38
medal winners	old	38
medal winners	inexperienced	38
athlete	agile	38
synchronized platform	atomic operations	38
medal winners	experienced	38
all-round	multi-instrumentalist	38
men's team	skill level	38
wrestling freestyle	wrestlers	39
alpine combined	snowboarders	39
alpine combined	cross-country skiers	39
decathlon	multi-event specialists	39
track and field	runners	39
triathlon	triathletes	39
alpine combined	alpine skiers	39
pole vault	vaulter	39
alpine combined	skiers	39
high jump	pole vaulters	39
wrestling freestyle	freestyle wrestlers	39
high jump	long jumpers	39
track and field	throwers	39
javelin throw	throwers	39
pole vault	jumpers	39
high jump	jumpers	39
track and field	jumpers	39
triathlon	triathletes	39
pole vault	track and field athletes	39
javelin throw	track and field athletes	39
hammer throw	track and field athletes	39
decathlon	track and field athletes	39
high jump	high jumpers	39
hammer throw	strong throwers	39
nordic combined	trained in both disciplines	40
triple jump	broken by top athletes	40
pole vault	athletes with exceptional strength	40
decathlon	multi-talented athletes	40
decathlon	multi-talented	40
high jump	veterans	40
modern pentathlon	multi-talented	40
decathlon	multisport athletes	40
long jump	multi-talented athlete	40
pole vault	skilled	41
hammer throw	powerful	41
long jump	fast	41
super g	fast	41
luge	skilled	41
super g	skilled	41
hammer throw	strong	41
luge	bravery	41
wrestling	strategic	41
long jump	strong	41
wrestling	strong	41
hammer throw	strong	41
modern pentathlon	military officers	41
long jump	world-class	41
hammer throw	powerful	41
luge	olympic	42
long jump	olympic athletes	42
hammer throw	olympic athletes	42
alpine combined	olympic athletes	42
giant slalom	olympic athletes	42
ski jumping	olympic champions	42
pole vault	olympic champions	42
ski jumping	olympic athlete	42
luge	professional	43
modern pentathlon	professional athletes	43
medal winners	professional	43
pole vault	specialized	43
long jump	specialized	43
women's team	female	43
ski jumping	professional	43
biathlon	professional	43
nordic combined	professional	43
triathlon	professionals	43
tennis	professional	43
biathlon	professionals	43
olympic sport	professional	43
super g	professionals	43
tennis	male	43
gymnastics team competition	individual	43
men's team	professionals	43
skiing	professional	43
women's team	adult	43
all-rounder	athletes	44
hammer throw	men	44
gymnastics team competition	female	44
high jump	newcomers	44
women's team	female	44
medal winners	athletes	44
hammer throw	women	44
long jump	world champions	44
gymnastics team competition	male	44
pole vault	height	44
luge	speed	44
tennis	female	44
nordic combined	norwegian	45
nordic combined	german	45
nordic combined	austrian	45
triple jump	require strength and speed	46
triple jump	require strength	46
pole vault	require strength	46
triple jump	require mental toughness	46
triple jump	require technique and practice	46
pole vault	require technique	46
high jump	specialize in	46
high jump	train for	46
skeet	requires strength	46
winter sport	requires strength	46
nordic combined	need to be strong in both	46
triple jump	train for this event	46
handball	requires strength	46
triple jump	require speed	46
decathlon	multitaskers	47
long jump	agile	47
long jump	highly trained	47
wrestling	agile	47
triple jump	part of a team	47
decathlon	well-rounded	47
modern pentathlon	well-rounded	47
nordic combined	highly trained	47
modern pentathlon	versatile	47
pole vault	disciplined	47
modern pentathlon	physically fit	47
archery	precision	47
figure skating	precision	47
luge	adventurous	47
modern pentathlon	adventurous	47
modern pentathlon	adaptable	47
modern pentathlon	multiskilled	47
hammer throw	technically skilled	47
olympic sport	tactics	48
alpine combined	speed	48
alpine combined	strategic thinking	48
biathlon	strategic thinking	48
olympic sport	strategy	48
olympic sport	technique	48
biathlon	skiing skills	48
ice dancing	athletic performance	48
alpine combined	control	48
alpine combined	precision	48
alpine combined	technical skill	48
biathlon	shooting skills	48
track and field	track running	49
triple jump	triple jump	49
olympic sport	athletics	49
pole vault	clears	49
triple jump	high jump	49
triple jump	three jumps	49
gymnastics team competition	judges	49
pole vault	jumps	49
track and field	shot put	49
track and field	high jump	49
track and field	long jump	49
triple jump	long jump	49
individual event	exciting	50
individual event	relaxed	50
team event	relaxed	50
team event	exciting	50
individual event	formal	50
team event	formal	50
team event	energetic	50
team event	casual	50
team event	competitive	50
event	online	51
team event	optional	51
team event	mandatory	51
event	public	51
team event	mandatory	51
event	limited	51
event	invitation-only	52
event	invited only	52
team event	by invitation	52
event	invite-only	52
event	large	53
event	public	53
event	many	53
event	few	53
event	few	53
event	small	53
individual event	few people	53
individual event	small group	53
event	private	53
event	invited	53
individual event	large	54
individual event	private	54
individual event	public	54
individual event	small	54
medal winners	arena	55
medal winners	ceremony stage	55
medal winners	trophy	55
medal winners	medal	55
participates in	athlete	56
triathlon	professional	56
athlete	sports player	56
gymnast	athlete	56
medal winners	amateur athlete	56
medal winners	individual player	56
medal winners	professional athlete	56
medal winners	team player	56
all-round	professional athlete	56
beach volleyball	leather	57
beach volleyball	synthetic material	57
butterfly	sips nectar	58
butterfly	nectar	58
butterfly	feeds on nectar	58
trap	camouflage	59
butterfly	migratory	59
butterfly	flying	59
butterfly	feeding	59
butterfly	mating	59
aquatics	migrating	59
aquatics	breathe	59
aquatics	hunting	59
butterfly	flaps wings	59
butterfly	flutters	59
aquatics	schooling	59
aquatics	feed	59
aquatics	migrate	59
butterfly	migrates	59
butterfly	swarms	59
individual	can be lazy	60
individual	can be pessimistic	60
individual	can be active	60
