concept	property	cluster_label
biometrics	high	0
biometrics	low	0
biometrics	medium	0
genetics	inherited traits	1
personality	upbringing	1
language	developed	1
language	inherited	1
language	natural	1
language	developed over time	2
psychoanalysis	childhood experiences	2
bilingualism	early exposure	2
psychoanalysis	childhood experiences	2
language	taught	2
living language	learned	2
language	learned	2
living language	taught	2
animal taxonomy	study	3
multilingualism	self-study	3
bilingualism	self-study	3
bilingualism	immersion	4
multilingualism	immersion	4
multilingualism	immersion	4
bilingualism	immersion	4
geopolitics	ngos	5
politics	interest groups	5
geopolitics	international organizations	5
political geography	government	6
geopolitics	governments	6
geopolitics	non-state actors	6
geopolitics	governments	6
politics	citizens	7
psychometric test	online	8
soil type	good	9
soil type	susceptible	10
agronomy	soil erosion	10
soil analysis	soil erosion	10
soil science	soil erosion	10
soil science	erosion	10
embryo and foetus	from gestation	11
embryo and foetus	gestation	11
cosmology	age	11
stem cell	adult	11
embryo and foetus	gestation	11
minority language	globalization	12
human geography	globalization	12
economic geography	globalization	12
economic geography	globalization theory	12
multilingualism	globalization	12
contemporary history	globalization	12
economic geography	globalization	12
geophysics	natural disaster mitigation	13
meteorology	natural disaster response	13
volcanology	natural hazard mitigation	13
seismology	natural hazard mitigation	13
seismology	natural disaster mitigation	13
climatology	natural disaster mitigation	13
geomorphology	natural hazard mitigation	13
climatology	natural disaster preparedness	13
geology	natural disaster mitigation	13
climatology	climate change mitigation	13
volcanology	natural disaster mitigation	13
meteorology	climate change mitigation	13
ecology	climate change mitigation	13
biometrics	identification	14
biometrics	identification	14
biometrics	identification	14
botany	identification	14
biometrics	identification	14
biometrics	identification	14
plant taxonomy	identification	14
animal taxonomy	identification	14
plant taxonomy	identification	14
zoology	research	15
electronics	research	15
stem cell	research	15
pharmacology	research	15
cytology	research	15
histology	research	15
cartography	research	15
spectrometry	research	15
cytology	research	15
psychometric test	research	15
histology	research	15
electronics	research	15
cartography	research	15
histology	research	15
stem cell	research	15
psychometric test	research	15
laser physics	research	15
human geography	urban planning	16
urban sociology	urban planning	16
cultural geography	urban planning	16
climatology	urban planning	16
historical geography	planning urban development	16
cultural geography	urban planning	16
human geography	urban planning	16
economic geography	urban planning	16
economic geography	urban planning	16
political geography	urban planning	16
economic geography	urban planning	16
cartography	urban planning	16
cultural geography	urban planning	16
bioclimatology	urban planning	16
human geography	urban planning	16
geomorphology	urban planning	16
urban sociology	urban planning	16
geographical information system	urban planning	16
geomorphology	land use planning	16
cartography	urban planning	16
historical geography	urban planning	16
climatology	astronomy	17
spectrometry	astronomy	17
physical sciences	astronomy	17
botany	conservation	18
biology	conservation	18
life sciences	conservation	18
zoology	conservation	18
botany	conservation	18
plant taxonomy	conservation	18
life sciences	conservation	18
zoology	conservation	18
biology	conservation	18
bioclimatology	conservation	18
cultural geography	conservation	18
zoology	conservation efforts	18
life sciences	conservation efforts	18
ecology	conservation efforts	18
ecology	conservation	18
animal taxonomy	conservation	18
zoology	conservation	18
ecology	conservation	18
cultural geography	conservation	18
historical geography	conservation	18
ecology	sustainable development	19
ecology	sustainable development	19
electrotechnology	power transmission	20
bilingualism	business	21
multilingualism	business	21
ethics	business	21
psychology	business	21
administrative science	business	21
sociology	business	21
bilingualism	business	21
social sciences	business	21
behavioural sciences	business	21
administrative science	business	21
psychology	business	21
sociology	business	21
economics	business	21
ethics	business	21
political science	business	21
mineralogy	chemistry	22
archaeology	chemical tests	22
spectrometry	analyzing chemical composition	22
spectrometry	chemical analysis	22
spectrometry	chemistry	22
spectrometry	analyzing chemical composition	22
language	education	23
psychology	education	23
social sciences	education	23
administrative science	education	23
behavioural sciences	education	23
bilingualism	education	23
bilingualism	education	23
language	education	23
living language	education	23
geographical information system	education	23
multilingualism	education	23
sociology	education	23
sociology of education	teacher training	23
histology	education	23
minority language	education	23
psychometric test	education	23
archaeology	education	23
electronics	education	23
language	education	23
european language	education	23
regional language	education	23
non-european language	education	23
bilingualism	education	23
language	education	23
minority language	education	23
living language	education	23
psychology	education	23
psychometric test	employment	24
plasma physics	plasma instabilities	25
plasma physics	fusion energy	25
ionising radiation	high energy	25
plasma physics	fusion energy	25
nuclear physics	nuclear energy	25
plasma physics	plasma instabilities	25
geology	environmental science	26
photochemistry	environmental science	26
life sciences	environmental science	26
sedimentology	environmental science	26
botany	environmental science	26
cindynics	environmental science	26
ecology	environmental science	26
agronomy	environmental science	26
physical sciences	environmental science	26
parasitology	ecology	26
animal taxonomy	ecology	26
soil science	ecology	26
chemistry	environmental science	26
biochemistry	environmental science	26
physical sciences	environmental science	26
philosophy of science	environmental science	26
hydrogeology	environmental science	26
biometrics	border control	27
biometrics	authentication	28
biometrics	authentication	28
biometrics	authentication	28
biometrics	authentication	28
biometrics	authentication	28
economic geography	regional development	29
politics	security	30
biometrics	security	30
geopolitics	security	30
biometrics	vulnerable	30
biometrics	security	30
biometrics	security systems	30
biometrics	secure	30
biometrics	security	30
laser physics	mode-locked	30
biometrics	hackable	30
earth sciences	natural resource management	31
political geography	natural resource management	31
geochemistry	natural resource management	31
geomorphology	natural resource management	31
geographical information system	natural resource management	31
geomorphology	natural resource management	31
geology	natural resource management	31
earth sciences	natural resource management	31
soil science	forestry	31
earth sciences	natural resource management	31
climatology	natural resource management	31
geomorphology	natural resource management	31
human geography	environmental conservation	32
bioclimatology	environmental conservation	32
soil science	ecological restoration	32
soil analysis	ecological restoration	32
political geography	environmental policy	32
climatology	environmental policy	32
ecology	environmental policy	32
agronomy	environmental conservation	32
geology	environmental conservation	32
physical sciences	environmental conservation	32
geomorphology	environmental conservation	32
applied sciences	solving environmental issues	32
earth sciences	environmental conservation	32
cultural geography	environmental conservation	32
earth sciences	environmental conservation	32
science	environmental conservation	32
hydrogeology	environmental conservation	32
geology	environmental conservation	32
soil science	environmental conservation	32
chemistry	environmental protection	32
biology	environmental protection	32
climatology	environmental policy	32
ecology	environmental policy	32
geomorphology	environmental conservation	32
