facet_property	cluster_label
type: tram	0
transportation type: tram	0
equipment: electric tram	0
vehicle type: tram	0
examples: trolley	0
examples: trolleybus	0
transportation: tram	0
type: tramcar	0
uses: tramway	0
operation: electric tram	0
features: tram	0
uses: tram	0
mode of transport: tram	0
vehicle: tram	0
vehicles: trams	0
vehicle type: trams	0
examples: tram	0
examples: tramway	0
type: streetcar	0
mode of transportation: tram	0
types: tramway	0
mode: tram	0
vehicle type: tram car	0
type: trolley	0
used in: tram	0
comparison: large	1
size: mega	1
design: large	1
size: high	1
size range: large	1
size: large diameter	1
size: major	1
size: extra large	1
size: hulking	1
characteristics: larger	1
size: medium to large	1
characteristics: big	1
characteristics: large	1
design: large size	1
characteristic: large	1
size: can be large	1
size: typically 1-10 meters	1
features: large size	1
size: largest	1
size: typically large	1
typical size: large	1
size: big	1
physical characteristics: large size	1
features: large	1
size: large	1
characteristics: largest	1
types: large	1
characteristics: large size	1
type: large	1
size: typically small	2
comparison: small	2
size: can be small	2
type: small	2
structure: small	2
design: small size	2
scope: small	2
characteristics: small	2
design: small	2
size: compact	2
material handled: small	2
size range: small	2
characteristics: relatively small	2
characteristics: smaller	2
features: small size	2
height: small device	2
portability: small	2
size: tiny	2
size: mini	2
features: small	2
typical size: small	2
types: small	2
size: miniature	2
size: small	2
size: light	2
size: small to medium	2
speed: low	3
speed: slow	3
speed: slow-speed	3
speed: limited	3
performance: low speed	3
speed: slower than air	3
speed: low to medium	3
speed: relatively slow	3
characteristics: low speed	3
speed: slower than jet plane	3
speed range: low speed	3
speed: low speed	3
speed: low to moderate	3
disadvantages: slow speed	3
speed: less than jet speed	3
speed range: low	3
speed: low-speed	3
performance: slow speed	3
characteristics: slow speed	3
speed: lower	3
speed: lower than jet	3
speed: slow speed	3
function: freight transportation	4
usage: for hauling freight	4
applications: freight transportation	4
used for: heavy freight transport	4
used for: freight transportation	4
used for: shipping heavy goods	4
used for: freight	4
commonly used for: freight transportation	4
used for: freight transport	4
function: carry freight	4
operated by: freight carrier	4
associated with: freight industry	4
used for: moving freight	4
usage: for freight trains	4
function: hauling freight	4
component of: freight train	4
used for: both passenger and freight	4
used for: carrying freight	4
use: freight transportation	4
used for: transporting freight	4
used for: transporting bulk cargo	4
related to: freight	4
definition: freight carrier	4
used for: freight shipping	4
usage: freight hauling	4
use: freight transport	4
function: freight transport	4
used for: goods transportation	4
used for: heavy freight transportation	4
used for: heavy freight	4
type of vehicle: freight car	4
operated by: freight forwarders	4
used in: freight transportation	4
function: transport freight	4
use case: freight transportation	4
associated with: freight	4
commonly found in: freight trains	4
purpose: play	5
used for: play	5
usage scenario: playing	5
functionality: entertainment	6
use: entertainment	6
features: entertainment	6
function: amusement	6
activity: entertainment	6
application: entertainment	6
purpose: provide entertainment	6
function: providing entertainment	6
purpose: multimedia	6
usage: entertainment	6
activities: entertainment	6
used for: entertainment	6
use: for entertainment	6
purpose: entertainment	6
purpose: providing entertainment	6
type: entertainment	6
usefulness: entertainment	6
services: entertainment	6
function: entertainment	6
body part involved: legs	7
involves: legs	7
body parts: legs	7
body parts involved: legs	7
body part: leg	7
body part: legs	7
structure: non-metallic	8
design: metallic	8
structure: metal	8
design: metal	8
definition: not containing metal	8
physical structure: metal	8
objects: metal	8
object: metal	8
surface: metal	8
construction: metallic	8
construction material: metal	8
construction: cast	8
material: metal	8
common places: metal	8
structure: metallic	8
usage: vessels	9
type: large vessel	9
equipment: vessel	9
vessel: heavy	9
vessel: specialized	9
type of vessel: small	9
type: supply vessel	9
type: vessels	9
categorization: vessel	9
structure: vessel	9
vessel: large	9
features: large vessels	9
type of vessel: large	9
size: vessel	9
type: vessel	9
type: type of vessel	9
vessel size: large	9
design: specialized vessel	9
vessels: large	9
vessels: modern	9
type: specialized vessel	9
structure: large vessel	9
compared to: other types of ships	10
involved parties: ship	10
structure: ship	10
type: warship	10
type: amphibious assault ship	10
type: historic ship	10
operating method: ship	10
types of vessels: ships	10
type: ship	10
type: amphibious ship	10
type: drillship	10
contains information about: type of ship	10
examples: ship	10
type of ship: vessel	10
type of vessel: ship	10
type: large ship	10
history: historic vessels	10
related concepts: ship	10
categorization: ship	10
type: ships	10
ship type: warship	10
vessel: large ship	10
type: lift-on/lift-off ship	10
target: ship	10
type: ocean-going ship	10
mode: ship	10
type: roll-on/roll-off ship	10
type: naval vessel	10
type: type of ship	10
type of vessel: large ship	10
types of ships: warships	10
categories: warships	10
definition: non-military ships	10
contains information about: ship type	10
type of boat: ship	10
features: ship	10
type: factory ship	10
type: ice-strengthened ship	10
vessel type: ship	10
type: destroyer	10
types: tanker	11
vessel: tanker	11
categorization: petroleum tanker	11
ship type: tanker	11
types: tankers	11
types: chemical tanker	11
types of vessels: tanker	11
used for: tanker	11
used for: oil tanker	11
features: tanker	11
categories: tankers	11
structure: tanker	11
features: tankers	11
usage: tankers	11
vehicle: tanker	11
containers: tankers	11
design features: tanker-like design	11
vessel type: tanker	11
construction: tanker	11
types: gas tanker	11
type of vessel: tanker	11
vessels: tanker	11
type of ship: tanker	11
types: oil tanker	11
type: tanker	11
construction: tanker hull	11
found in: tankers	11
type: oil tanker	11
used for: chemical transportation	12
function: transport chemicals	12
function: carry chemicals	12
function: storing chemicals	12
purpose: transporting chemicals	12
equipment: curing tanks	12
function: transporting chemicals	12
transported materials: chemicals	12
used for: transporting chemicals	12
function: carrying chemicals	12
purpose: carrying chemicals	12
storage: flammable liquids	12
usage: transporting chemicals	12
used for: moving chemicals	12
functionality: carrying chemicals	12
usage: chemical transportation	12
carries: chemicals	12
design: specialized for chemical transport	12
categorization: hazardous materials carrier	13
used for: emergency cargo	13
function: carry hazardous materials	13
storage: hazardous materials	13
usage: carrying construction materials	13
purpose: carrying hazardous materials	13
function: transport hazardous materials	13
safety features: hazmat storage	13
safety features: hazardous material storage	13
function: carrying hazardous materials	13
size: extra-long	14
size: varies in length	14
size: extended	14
size: short	14
size: typically long and narrow	14
size: lengthy	14
size: extra long	14
size: long length	14
size: can be long and heavy	14
size: longest	14
size: long	14
functionality: stores equipment	15
purpose: storing equipment	15
equipment: storage facilities	15
uses: storing equipment	15
purpose: storing vehicles	15
function: housing equipment	15
purpose: store equipment	15
function: storing equipment	15
used for: storing equipment	15
storage: used in power plants	15
features: equipment storage	15
used for: housing machinery	15
usage: storing equipment	15
loaded with: equipment	15
purpose: housing equipment	15
function: storing vehicles	15
functionality: storing equipment	15
importance: strategically important	16
