concept	property	cluster_label
violin	tuner	0
stereo	headphones	0
cell phone	bluetooth headset	0
cell phone	headphones	0
stereo	headphones	0
stereo	earbuds	0
cell phone	wireless earbuds	0
cell phone	charger	1
violin	case	1
cell phone	screen protector	1
cell phone	cases	1
cell phone	case	1
cell phone	apps	1
cell phone	chargers	1
screwdriver	storage	1
earmuffs	cases	1
bathtub	bath toys	2
bathtub	bath bombs	2
bathtub	towel bars	2
bathtub	bath salts	2
bathtub	shower curtain	2
bathtub	bathtub mat	2
bathtub	bath pillow	2
hair dryer	diffuser	2
rifle	grip	3
violin	shoulder rest	3
rifle	stock extension	3
rifle	stock	3
screwdriver	sockets	3
rifle	scope	3
rifle	magazine	3
rifle	red dot sight	3
rifle	silencer	3
hair dryer	comb	4
earmuffs	headbands	4
earmuffs	strings	4
shoes	laces	4
shoes	zippers	4
earmuffs	cleaning cloths	4
shoes	socks	4
screwdriver	extensions	4
violin	music stand	4
shoes	buckles	4
hair dryer	brush	4
shoes	insoles	4
corkscrew	removing	5
prune	to remove	5
prune	remove	5
pistol	automatic	5
cow	hide	5
cow	hide	5
shotgun	slide-action	6
shotgun	break-action	6
shotgun	break-action	6
rifle	break-action	6
shotgun	break-action	6
rifle	break-action	6
shotgun	break-action	6
sailboat	diving	7
sailboat	swimming	7
sailboat	sailing	7
canoe	sailing	7
sled	racing	7
skateboard	racing	7
sailboat	racing	7
ship	sailing	7
sailboat	sailing	7
sailboat	fishing	7
skateboard	cruising	7
sailboat	cruising	7
boat	sailing	7
yacht	sailing	7
kite	flying	7
sled	sliding	7
skateboard	street skating	8
skateboard	vert skating	8
skateboard	skating	8
skateboard	longboarding	8
skateboard	park skating	8
frisbee	juggling	8
walrus	efficient diving	9
octopus	large eyes	9
salamander	respiratory system	9
seal	diving ability	9
walrus	large body size	9
crocodile	efficient hunter	9
walrus	flippers for swimming	9
walrus	tusk use	9
woodpecker	specialized skull structure	9
salamander	swimming	9
deer	swift flight	9
salamander	jumping	9
squid	jet propulsion	9
octopus	jet propulsion	9
walrus	strong swimming	9
crocodile	strong swimming	9
salamander	climbing	9
salamander	burrowing	9
turtle	long neck	9
salamander	regenerative abilities	10
salamander	regenerative abilities	10
octopus	arm regeneration	10
salamander	regeneration	10
seagull	adaptability to human presence	11
woodpecker	ability to withstand impact	11
woodpecker	ability to withstand impact	11
woodpecker	ability to withstand head trauma	11
swan	waterproof feathers	12
seagull	water-resistant feathers	12
seagull	water-repellent feathers	12
otter	water-repellent fur	12
bear	insulating fur	12
otter	water-repellent fur	12
seagull	salt-excreting glands	12
woodpecker	keen eyesight	13
hawk	exceptional vision	13
eagle	keen eyesight	13
falcon	keen eyesight	13
hawk	keen eyesight	13
seagull	keen eyesight	13
otter	good eyesight	13
woodpecker	keen sense of hearing	13
seagull	sharp eyesight	13
woodpecker	keen eyesight	13
seagull	keen eyesight	13
bear	thick fur	13
otter	strong tail	14
woodpecker	stiff tail	14
cheetah	specialized paws	14
turtle	retractable head	14
turtle	strong neck	14
woodpecker	strong neck	14
crocodile	powerful tail	14
bear	powerful claws	14
octopus	suckers	15
missile	stealth	15
cheetah	stealth	15
deer	stealth	15
rattlesnake	strike	15
hawk	silent flight	15
skis	length	16
skis	angle	16
skis	tuning	16
prune	to reduce size	16
skis	storage	16
tricycle	adults	17
tricycle	seniors	17
tricycle	elderly	17
tricycle	elderly	17
cannon	ammunition	18
bullet	ammunition	18
crossbow	quarrels	18
shotgun	cylinders	18
crossbow	bolts	18
shotgun	slugs	18
bullet	ammunition	18
crossbow	projectiles	18
shotgun	pellets	18
shotgun	shells	18
crossbow	arrows	18
shotgun	cartridges	18
shotgun	buckshot	18
squid	tentacles	19
octopus	tentacles	19
octopus	suckers	19
squid	tentacles	19
octopus	tentacles	19
octopus	tentacles	19
octopus	shell	19
octopus	beak	19
squid	statocysts	19
octopus	ink sac	19
clam	byssal sac	19
octopus	ink	19
octopus	head	20
octopus	eyes	20
octopus	arms	20
octopus	skin	20
balloon	animal	21
bull	large size	21
bull	large	21
balloon	animal	21
lamb	cute	21
crow	black	21
seal	swimmer	21
peacock	colorful	21
pie	animal	21
peacock	large	21
walrus	large	21
bull	large	21
turkey	large	21
peacock	majestic	21
dolphin	intelligent	21
crow	intelligent	21
turkey	wild	21
otter	playful	21
seal	fin-footed	22
turkey	galliform	22
chicken	feathered	22
peacock	feathered	22
lamb	woolly	22
swan	migratory	22
lamb	soft wool	22
flamingo	large wingspan	22
duck	feathers	22
chicken	feathered	22
goat	mammal	23
pigeon	mammal	23
hare	mammal	23
deer	mammal	23
cow	mammal	23
seal	mammal	23
bull	mammal	23
cheetah	mammal	23
lion	mammal	23
bear	mammal	23
tiger	mammal	23
pig	mammal	23
otter	mammal	23
bull	mammal	23
whale	mammal	23
walrus	mammal	23
otter	mammal	23
lamb	mammal	23
otter	mammal	23
seal	mammal	23
walrus	mammal	23
bull	mammal	23
walrus	mammal	23
walrus	mammal	23
dolphin	mammal	23
lamb	mammal	23
otter	semi-aquatic	24
seal	semi-aquatic	24
hare	fast-moving animal	24
otter	semi-aquatic	24
otter	semi-aquatic	24
seal	semi-aquatic	24
lion	big cat	25
cheetah	big cat	25
walrus	large	25
walrus	fat	25
cheetah	solitary	25
lion	roar	25
lion	predator	25
pig	hooves	25
cheetah	long legs	25
seal	flippers	26
dolphin	cetacean	26
seal	pinniped	26
walrus	pinniped	26
seal	pinniped	26
walrus	pinniped	26
walrus	pinniped	26
lamb	sheep	27
lamb	ovine	27
lamb	sheep	27
cheese	sheep	27
bull	cattle	27
lamb	sheep	27
peas	seeds	28
cherry	seeds	28
rhubarb	fruit	28
rhubarb	flowers	28
strawberry	seeds	28
banana	seeds	28
tomato	seeds	28
lemon	juice	28
grapefruit	seeds	28
grape	seeds	28
lemon	seeds	28
rhubarb	petioles	28
beans	seeds	28
nectarine	seed	28
potato	sprouts	28
bread	golden brown	29
biscuit	golden brown	29
bread	brown	29
onions	brown	29
pear	brown	29
pepper	brown	29
potato	brown	29
raisin	brown	29
biscuit	dark brown	29
walnut	brown	29
garlic	brown	29
goose	grayish-brown	29
spinach	dark green	29
beans	often brown or black	29
biscuit	light brown	29
raisin	dark brown	29
pigeon	brown	29
radish	stem	30
cauliflower	stem	30
cherry	stem	30
broccoli	stem	30
spoon	stem	30
potato	stem	30
pear	stem	30
rhubarb	stalk	30
cabbage	stem	30
broccoli	stem	30
cauliflower	stem	30
mushroom	stem	30
walnut	kernel	30
cherry	stemmed	30
celery	stem	30
peach	stem	30
pear	stem	30
nectarine	pit	30
plum	pit	30
avocado	pit	30
cherry	pit	30
mushroom	stem	30
mushroom	stem	30
raspberry	stems	30
beets	stems	30
parsley	stems	30
pineapple	stems	30
beans	stems	30
apple	stem	30
lettuce	stem	30
celery	stems	30
mushroom	stem	30
spinach	fresh or frozen	31
cranberry	fresh or frozen	31
parsley	fresh or dried	31
spinach	fresh smell	32
