concept	property	cluster_label
discourse linguistics	communication studies	0
sociology of culture	communication studies	0
philosophy of language	study of communication	0
performance studies	communication	0
journalism studies	communication	0
rhetoric and composition	communication	0
sociolinguistics	communication studies	0
discourse linguistics	communication studies	0
performance studies	communication studies	0
speech and rhetorical studies	communication	0
broadcast studies	communication studies	0
speech and rhetorical studies	communication studies	0
speech and rhetorical studies	communication studies	0
journalism studies	mass communication	0
performance studies	communication studies	0
critical and cultural studies	communication studies	0
rhetoric and composition	communication	0
performance studies	communication studies	0
anthropological linguistics	human communication	0
performance studies	theatre	1
performance studies	performing arts	1
performance studies	theater	1
performance studies	theatre	1
performance studies	dance	1
performance studies	performance art	1
performance studies	acting	1
dramatic literature, criticism and theory	theatre studies	1
dramatic literature, criticism and theory	theatre history	1
performance studies	acting	1
performance studies	dance	1
performance studies	theatre studies	1
performance studies	drama	1
performance studies	performance studies	1
performance studies	acting	1
performance studies	performance art	1
performance studies	performing arts	1
performance studies	performing arts	1
performance studies	acting	1
comparative literature	humanities	2
anthropological linguistics	humanities	2
comparative and historical linguistics	humanities	2
american studies	humanities	2
social anthropology	humanities	2
cultural anthropology	humanities	2
applied linguistics	humanities	2
performance studies	humanities	2
critical and cultural studies	humanities	2
anthropological linguistics	humanities	2
critical and cultural studies	humanities	2
social anthropology	humanities	2
american studies	humanities	2
classical literature and philology	humanities	2
comparative literature	humanities	2
sociolinguistics	humanities	2
linguistics	humanities	2
ethnic studies	humanities	2
speech and rhetorical studies	humanities	2
ethnomusicology	humanities	2
musicology	humanities	2
linguistic anthropology	humanities	2
classical archaeology and art history	philosophy and mythology	2
comparative literature	scholarly discipline	2
epistemology	study of knowledge	2
journalism studies	humanities	2
discourse linguistics	humanities	2
critical and cultural studies	humanities	2
performance studies	humanities	2
american studies	humanities	2
cultural anthropology	humanities	2
comparative literature	humanities	2
musicology	humanities	2
ethnomusicology	humanities	2
musicology	humanities	2
ethnic studies	humanities	2
musicology	humanities	2
political science	humanities	2
anthropological linguistics	humanities	2
epistemology	humanities	2
linguistics	humanities	2
models and methods	humanities	2
linguistic anthropology	humanities	2
social anthropology	humanities	2
american studies	women's studies	2
models and methods	humanities	2
speech and rhetorical studies	rhetoric	3
speech and rhetorical studies	rhetoric	3
performance studies	spoken word	3
speech and rhetorical studies	oratory	3
speech and rhetorical studies	rhetoric	3
performance studies	speech	3
speech and rhetorical studies	rhetoric	3
rhetoric and composition	rhetoric	3
gender and sexuality	respectful	4
gender history	acceptance	4
gender, race, sexuality, and ethnicity in communication	necessary	4
social psychology and interaction	apology	4
gender, race, sexuality, and ethnicity in communication	acceptance	4
membrane science	good rejection	4
gender and sexuality	rejecting	4
gender and sexuality	accepting	4
gender, race, sexuality, and ethnicity in communication	crucial	4
gender, race, sexuality, and ethnicity in communication	essential	4
gender and sexuality	inclusive	5
gender and sexuality	diverse	5
gender, race, sexuality, and ethnicity in communication	inclusive language	5
gender, race, sexuality, and ethnicity in communication	inclusive language	5
gender and sexuality	tolerant	5
gender and sexuality	supportive	5
feminist	inclusive	5
gender, race, sexuality, and ethnicity in communication	inclusive	5
communication technology and new media	wireless	6
data storage systems	offline	6
communication technology and new media	offline	6
networking	offline	6
data storage systems	online	6
communication technology and new media	online	6
communication technology and new media	mobile	6
data storage systems	remote	6
communication technology and new media	offline	6
communication technology and new media	mobile app	6
communication technology and new media	web app	6
communication technology and new media	online	6
data storage systems	low-speed	6
data storage systems	local	6
communication technology and new media	desktop	6
data storage systems	offline access	7
data storage systems	offline	7
data storage systems	difficult access	7
data storage systems	easy access	7
data storage systems	online	7
data storage systems	online access	7
multi-vehicle systems	increase accessibility	7
women's history	first female nobel laureate	8
women's history	first female astronaut	8
history of science, technology, and medicine	theory of evolution	8
history of science, technology, and medicine	discovery of x-rays	8
women's history	first female ceo	8
women's history	first female politician	8
software engineering	deployment	9
systems engineering	operation	9
systems engineering	deployment	9
biblical studies	missions	9
systems engineering	deployment	9
software engineering	deployment	9
food science	extraction	10
geochemistry	extraction	10
biochemistry	extraction	10
botany	extraction	10
plant science	extraction	10
petroleum engineering	extraction	10
petroleum engineering	extraction	10
petroleum engineering	extraction	10
petroleum engineering	extraction	10
environmental chemistry	extraction	10
food chemistry	extraction	10
chemistry	extraction	10
information systems	retrieves	10
biochemical nutrition	extraction	10
information systems	retrieve	10
medicinal-pharmaceutical chemistry	extraction	10
petroleum engineering	extraction	10
petroleum engineering	extraction	10
petroleum engineering	extraction	10
wood science	extraction	10
inorganic chemistry	extraction	10
toxicology	extraction	10
petroleum engineering	extraction	10
environmental chemistry	extraction techniques	10
forest management	replanting	11
forest management	pruning	11
agronomy	harvesting	11
horticulture	planting	11
forest management	planting	11
horticulture	planting	11
horticulture	cultivating	11
horticulture	irrigating	11
crop sciences	pruning	11
agronomy	plowing	11
horticulture	pruning	11
horticulture	harvesting	11
agronomy	harvesting	11
agronomy	pruning	11
horticulture	pruning	11
horticulture	pruning	11
forest management	pruning	11
forest management	replanting	11
social history	revolutionaries	12
politics and social change	activists	12
public affairs	activists	12
social influence and political communication	activists	12
politics and social change	activists	12
politics and social change	activist	12
environmental sciences	activists	12
politics	activists	12
ethnic studies	activists	12
sociology	activists	12
politics and social change	activists	12
politics and social change	activist	12
african history	activists	12
public affairs	activists	12
social influence and political communication	activist	12
performance studies	activists	12
international economics	governments	13
international nutrition	local governments	13
social control	state	13
international economics	governments	13
politics and social change	governments	13
social control	government	13
international relations	governments	13
public health	government	13
forest management	government	13
public policy	government	13
public affairs	government	13
international nutrition	governments	13
economics	government	13
public policy	government agencies	13
forest management	government agencies	13
public administration	government agencies	13
politics	government	13
macroeconomics	government	13
economics	government	13
politics and social change	government	13
family, life course, and society	government	13
social control	state	13
social control	state	13
work	government	13
industrial organization	government	13
international nutrition	local governments	13
public affairs	government officials	14
public administration	civil servants	14
public administration	civil servants	14
public affairs	bureaucrats	14
public administration	bureaucrats	14
politics	bureaucrats	14
public administration	government officials	14
public administration	bureaucrats	14
public affairs	officials	14
public administration	public officials	14
public affairs	government officials	14
public affairs	bureaucrats	14
public administration	bureaucrats	14
public administration	civil servants	14
social control	government	14
public administration	public officials	14
social influence and political communication	consumers	15
public relations/advertising	investors	15
work, economy and organizations	consumers	15
public relations/advertising	customers	15
social influence and political communication	voters	15
social influence and political communication	consumers	15
economics	consumers	15
social influence and political communication	consumers	15
macroeconomics	consumers	15
public relations/advertising	consumers	15
organizational communication	customers	15
international economics	consumers	15
public administration	citizen	16
politics and social change	citizens	16
american politics	citizens	16
public affairs	citizens	16
politics and social change	citizens	16
public administration	citizens	16
politics and social change	citizen	16
public affairs	citizens	16
public administration	citizens	16
political science	citizens	16
american politics	voters	16
social influence and political communication	citizens	16
social influence and political communication	ordinary citizens	16
public policy	citizens	16
public health	non-governmental organizations	17
international relations	nongovernmental organizations	17
public policy	interest groups	17
public affairs	organizations	17
politics and social change	organizations	17
international economics	ngos	17
forest management	ngos	17
international nutrition	ngos	17
public health	ngos	17
international relations	ngos	17
public affairs	ngos	17
public health	who	17
politics and social change	ngos	17
public affairs	special interest groups	17
international nutrition	who	17
international relations	international organizations	17
public affairs	ngos	17
social influence and political communication	lobby groups	17
international economics	international organizations	17
public policy	private organization	17
forest management	non-profit organizations	17
public health	non-profit organizations	17
international relations	non-governmental organizations	17
public policy	non-governmental organizations	17
public health	non-governmental organizations	17
international nutrition	ngos	17
work	ngo	17
forest management	environmental organizations	17
international relations	non-governmental	17
theatre	actors	18
international nutrition	unicef	18
theatre	dancers	18
theatre	singer	18
theatre	actors	18
dramatic literature, criticism and theory	playwrights	18
playwriting	actors	18
forest management	loggers	18
international relations	individuals	18
social influence and political communication	influencers	18
public health	individuals	18
social control	individuals	18
politics and social change	individuals	18
forest management	foresters	18
theatre	actors	18
performance studies	actor	18
social influence and political communication	advertisers	18
international economics	individuals	18
theatre	performer	18
theatre	musicians	18
theatre	dancer	18
dramatic literature, criticism and theory	actors	18
theatre	dancers	18
social influence and political communication	media	18
american politics	media	18
theatre	singers	18
forest management	private companies	18
theatre	singers	18
theatre	singers	18
mass communication	receiver	18
theatre	performers	18
mass communication	message	18
international nutrition	who	18
mass communication	medium	18
theatre	actor	18
theatre	actress	18
theatre	actors	18
international economics	companies	18
electro-mechanical systems	valves	19
electro-mechanical systems	piston	19
chemical engineering	valves	19
process control and systems	actuators	19
process control and systems	actuators	19
electro-mechanical systems	valves	19
acoustics, dynamics, and controls	actuators	19
robotics	actuators	19
process control and systems	valves	19
electro-mechanical systems	actuators	19
propulsion and power	piston	19
chemical engineering	valves	19
propulsion and power	turbochargers	19
structural materials	eco-friendly	20
wood science	eco-friendly	20
energy systems	low	20
propulsion and power	low	20
forest management	sustainable use	20
wood science	sustainable resource	20
biomaterials	sustainable	20
pulp/paper technology	sustainable resource	20
energy systems	environmentally friendly	20
structural materials	low maintenance	20
energy systems	non-polluting	20
place and environment	healthy	20
structural materials	sustainable	20
power and energy	sustainable	20
demography, population, and ecology	healthy	20
esthetics	perceptual	21
esthetics	aesthetic experience	21
esthetics	emotional	21
esthetics	subjective	21
esthetics	personal taste	21
esthetics	sensory	21
esthetics	subjective	21
esthetics	personal	21
music	watching	21
structures and materials	decoration	22
art and architecture	ornateness	22
composition	decorative	22
art and architecture	ornate	22
structures and materials	decorative material	22
american material culture	ornate	22
asian art and architecture history	ornate decorations	22
asian art and architecture history	use of gold and bronze	22
graphics	ornate	22
art and architecture	ornate	22
modern art and architecture history	ornate	22
external galaxies	young	23
second language acquisition	children	23
immunoprophylaxis	infants	23
first language acquisition	toddlerhood	23
family	child	23
family	child	23
family	child	23
first language acquisition	0-3 years	23
second language acquisition	infant	23
growth and development	child's height increasing	23
second language acquisition	child	23
systems and communications	community	24
social control	community	24
public health	community	24
politics and social change	community groups	24
programming languages	medium	24
social control	community	24
gender and sexuality	accepting	24
religious thought	community	24
programming languages	passive	24
gender and sexuality	ally	24
forest management	local communities	24
