property	cluster_label
transport goods	0
carry cargo	0
deliver goods	0
transporting goods	0
moves people	0
transports goods	0
moves goods	0
transport people	0
transport goods or people	0
located near cities	1
located in hospitals	1
located in countries	1
common in cities	1
located in art galleries	1
located in museums	1
located in farms	1
located in nature	1
located in intersections	1
between cities	1
located in ports	1
located in buildings	1
located in fields	1
located in supermarkets	1
located in downtown	1
located in train stations	1
located in airports	1
located in countryside	1
located in cities	1
located in Italy	1
located in offices	1
located at airports	1
located in suburbs	1
located in homes	1
made of cells	2
handled with gloves	2
made of lightweight materials	2
made of dirt	2
made of rails	2
attached to ceiling	2
made of concrete	2
made of water	2
made of hydrogen and oxygen	2
made of atoms	2
made of steel	2
made of metal	2
made of rubber	2
made of fiber	2
made of asphalt	2
made of wood	2
made of fiberglass	2
built with steel	2
made of plastic	2
has breakfast	3
have handles	3
have wings	3
have four wheels	3
have brakes	3
has no sides	3
has wheels	3
tracks are wider	3
has horns	3
has wings	3
have tires	3
have wheels	3
have sails	3
includes running	4
includes walking	4
includes jumping	4
includes dancing	4
includes climbing	4
includes standing	4
includes sitting	4
includes moving	4
includes exercising	4
includes falling	4
located in bodies of water	5
located in oceans	5
located near oceans	5
found in water	5
located over water	5
located in arctic	5
located underwater	5
located by water	5
located in water	5
located near ocean	5
located above the earth	5
extend into water	5
connects rivers	6
located in open sea	6
located in coastal areas	6
located in harbors	6
located in canals	6
located in railways	6
located in lakes	6
connected to rivers	6
located in rivers	6
located near rivers	6
located in seas	6
located in mountains	6
located in channels	6
used for economy	7
used for economies	7
has knowledge of market	7
publicly accessible	7
used for productivity	7
used for goods	7
used for real estate	7
used for commerce	7
used in trade	7
used for trade	7
used for taxation	7
used for distribution	7
used for businesses	8
used for industries	8
used for business	8
used for engineering	8
used in agriculture	8
used in industries	8
used for manufacturing	8
used for electricity	8
used for export	8
used for industry	8
used for agriculture	8
has expertise in industry	8
used in industry	8
used for supporting industries	8
used for research	8
used for management	8
stored in special facilities	9
allowed with permits	9
have special permits	9
requires permits	9
has special licenses	9
digital or printed	10
used for communication	10
used for entertainment	10
way of communication	10
used for organization	10
used for communicating	10
used in communication	10
used for visibility	10
used for languages	10
used for education	10
used for identification	10
used for surveillance	10
have payment systems	11
had first aid kits	11
have information centers	11
have radar systems	11
have control panels	11
have signaling systems	11
have mechanical systems	11
divided into layers	11
have license plates	11
have hitching systems	11
have runways	11
have ticket counters	11
have flight plans	11
has control panel	11
has multiple aircraft	11
have cargo holds	11
have air traffic controllers	11
have sliding doors	11
controlled by operators	11
contains gases	12
includes weights	12
contains particles	12
contains names	12
contains roles	12
contains positions	12
requires clearance	12
contains ranks	12
includes quantities	12
issues permits	12
describes contents	12
amount varies	12
subject to weather conditions	13
provide protection from weather	13
protected from weather	13
not protected from elements	13
exposed to weather	13
collection of items	14
used for storage	14
used for exhibitions	14
used for solids	14
used for cigarettes	14
used for gas	14
used for oil	14
used for containers	14
used for heating	14
used for assembly	14
used for plastics	14
used for food storage	14
used for supplies	14
used for harvesting	14
used for liquids	14
used for seafood	14
used for equipment	14
used for chemicals	14
used with masks	14
partially filled with containers	14
have ships	15
have trucks	15
have transmission	15
have trains	15
have vehicles	15
using trucks	15
have hubs	15
have benches	15
have turbines	15
have cabs	15
have helicopters	15
have motors	15
have cargo	15
have trailers	15
have pumps	15
have cars	15
have buses	15
based on location	16
based on facilities	16
based on traffic	16
based on size	16
within a country	16
international airports	17
private airports	17
domestic airports	17
military airports	17
small airports	17
large airports	17
used for small airports	17
public transportation	17
temporary structures	18
used for cooking	18
used for fuel	18
used for construction	18
used for buildings	18
used for salvage	18
used in construction	18
used for farming	18
used for irrigation	18
used for mining	18
used in buildings	18
used for decoration	18
used for repair	18
used for excavation	18
used for maintenance	18
used for repairs	18
end of a trip	19
end of a journey	19
reach a place	20
reach a destination	20
used for daily life	21
used for families	21
used for work	21
used for transportation	21
used for people	21
used for traveling	21
used for low cost travel	21
used for daily routine	21
used for transport	21
important for air travel	21
important for transportation	21
used for international travel	21
used for recreation	21
used for air travel	21
used for commuting	21
used for adventure	21
used for travel	21
used for passenger	21
used for outdoor activities	21
used for vacations	21
used for passengers	21
used for tourism	21
used for space travel	21
used for stability	22
used for fire	22
flies without fuel	22
used for flights	22
used in flight	22
used for speed	22
used for rescue	22
used for training	22
used for movement	22
used for patrol	22
used for flight	22
used for planes	22
used for driving	22
used for safety	22
using airplanes	22
used for exploration	22
operates buses	23
operates airplanes	23
operates ships	23
operates trains	23
operates public transit	23
operates trucks	23
operates planes	23
regulated by government	24
regulated by laws	24
managed by government	24
imposed by governments	24
paid by governments	24
managed by authorities	24
kept by government	24
regulated by authorities	24
required by regulations	24
issued by government	24
government agency	24
required by law	24
used in ports	25
used for shipping	25
used in ships	25
used in logistics	25
used in warehouses	25
used in cargo	25
used in shipping	25
type of shipping	25
used for importing	25
used for logistics	25
used in freight	25
used in airports	25
used in navigation	25
used in harbors	25
used in maritime	25
used in shipping industries	25
used in commercial	25
process of docking	25
used in internet	25
standardized sizes	26
standardized equipment	26
standardized globally	26
used for border crossing	27
plays crucial role in global trade	27
means of international trade	27
used for global supply chain	27
used for international trade	27
used in international trade	27
large boats	28
large ships	28
large quantities	28
large vehicles	28
large vessels	28
large capacity	28
large spaces	28
large vessel	28
meant to achieve	29
can be used by many	29
can be digested	29
can be compared	29
does not exist	29
can be intersected	29
can be unioned	29
can be eaten	29
can be empty	29
used for passing	30
used for heavy lifting	30
used for stopping	30
used for drilling	30
used for braking	30
used for lifting	30
used for boarding	30
used for towing	30
used for heavy loads	30
used for hauling	30
loading and unloading	30
used for freight	30
used for exporting	30
used for boat lift	30
used for crossing	30
used for docking	30
used for moving	30
used for unloading	30
used for stacking	30
used for loading	30
represents clients	31
indicates direction	31
directs traffic	31
regulates traffic	31
manages intersections	31
regulates flow	31
serves food	31
measured in cubic feet	32
measured in cubic meters	32
measured in gallons	32
measured in liters	32
measured in hectares	32
measured in square kilometers	32
measured in acres	32
measured in square meters	32
measured in inches	32
measured in milliliters	32
measured in millimeters	32
goal-oriented	33
goal-directed	33
carbon-based	33
have sirens	34
has megaphones	34
has sirens	34
has magnets	35
has leaks	35
has caps	35
has cables	35
has stones	35
has batteries	35
has sand	35
has mud	35
has cargo	35
has grass	35
has mirrors	35
has fans	35
has metabolism	35
has cells	35
has ventilation	35
has markings	35
has signs	35
has meters	35
has pillars	35
has insulation	35
has ignition	35
has colors	35
has coils	35
has heating	35
has doors	35
has seats	35
has buttons	35
has wires	35
has wine	35
has snacks	35
has beds	35
has windows	35
has screens	35
has meals	35
has furniture	35
has lights	35
has signals	35
has brakes	35
have lights	35
has showers	35
green means go	36
red means stop	36
yellow means caution	36
used for sailing	37
used for finding islands	37
used for night sailing	37
secured with ropes	37
used for water sports	37
used for racing	37
done while moving	37
used for fishing	37
used for boating	37
used for maritime	37
used for hunting	37
used for camping	37
used for navigation	37
used for boats	37
used for surfing	37
used for cruises	37
used for catching fish	37
used for avoiding reefs	37
used for ships	37
used for climbing	37
used for hiking	37
used for sleeping	37
used for swimming	37
used for drinking	37
used for walking	37
used on boats	37
used for offshore	37
have handlebars	38
have nozzles	38
have railings	38
have roundabouts	38
had harpoons	38
have elevators	38
has ladders	38
had logbooks	38
have altitudes	38
have staircases	38
have ladders	38
has freezers	38
has pulleys	39
rotates on axles	39
powered by turboprop	39
faster than propeller planes	39
has propellers	39
has winches	39
has no propellers	39
have axles	39
have propellers	39
have compressors	39
has locomotive	40
has engines	40
has turbines	40
has valves	40
requires engines	40
has engine	40
has processing lines	40
require wiring	40
passengers	40
have engines	40
has DNA	40
has gauges	40
has antennas	40
have engine	40
has containers	40
has trains	40
used for rescuing	41
used for firefighting	41
burning with fire extinguishers	41
used for fire starting	41
used for underwater work	41
used for fire fighting	41
used for marine firefighting	41
large in size	42
highly complex	42
large and heavy	42
lifts heavy objects	42
long and narrow	42
finite or infinite	42
used in emergency	43
used for emergencies	43
used for emergency services	43
used for emergency situations	43
used for emergency	43
maintained by infrastructure	44
consciously controlled	44
crewed by professionals	44
operated by drivers	44
driven by professionals	44
punishable by fines	44
run by officials	44
staffed by controllers	44
requires navigation	45
uses sound waves	45
display art	45
uses ships	45
using warehouses	45
lists items	45
uses compass	45
uses multiple modes	45
uses GPS	45
uses maps	45
uses protocols	45
uses codes	45
located on aircraft carriers	46
located in shipyards	46
located on top of ships	46
located in spacecraft	46
using ships	46
located on ships	46
large ships dock	46
located on trains	46
located on airplanes	46
raises or lowers boats	46
attached to ships	46
located on masts	46
located in ships	46
located in aircraft	46
located on boats	46
require infrastructure	47
provide supplies	47
provide services	47
provide accommodation	47
require maintenance	47
provide seating	47
updated daily	47
perform tasks	47
provide logistics	47
provide public services	47
large size	47
enforces laws	48
enforces speed limits	48
sets speed limits	48
prioritizes emergency vehicles	49
prioritizes pedestrians	49
has seat selection	50
has ticket counter	50
has customer service	50
has charging ports	50
has entertainment systems	50
has seats for children	50
has checked baggage	50
has online booking	50
managed by railways	51
has frequent flyer program	51
signed by carriers	51
established by airlines	51
