person	 male or female 
group	 types of organizations 
organization	 actions 
location	 properties of a movie 
entity	 part of business process 
time	 components of a watch 
object	 solid 
event	 one type of activity 
place	 used for rest 
accident	 dents 
actor	 performers in a play 
agency	 agencies 
airline	 types of transportation 
airplane	 vehicles for transportation 
airport	 types of transportation hubs 
animal	 types of living things 
architect	 professions 
army	 military forces 
art	 types of visual media 
artist	 creative professionals 
athlete	 associated with sports 
attack	 military operations 
author	 book creators 
award	 types of recognition 
biology	 branches of science 
body part	 parts of the human body 
bridge	 structures 
broadcast	 types of media 
broadcast station	 radio stations 
building	 used for construction 
car	 vehicles for transportation 
cemetery	 places of worship 
chemistry	 science 
city	 types of geographic locations 
coach	 sports professionals 
company	 business entities 
computer	 used for work 
conflict	 disagreement 
country	 music genres 
county	 levels of government 
currency	 located in purses 
degree	 part of a university education 
department	 part of a company 
director	 involved in movie production 
disease	 causes death 
doctor	 medical professionals 
drug	 types of substances 
education	 causes a desire to learns 
election	 voting 
engineer	 professions 
ethnic group	 group 
facility	 facilities 
film	 used for photography 
finance	 financial institutions 
food	 located in tables 
game	 types of entertainment 
geography	 social sciences 
god	 one of three 
government	 organizations 
health	 very important 
heritage	 legacies 
holiday	 types of time off from work 
hospital	 healthcare facilities 
hotel	 types of accommodations 
institution	 organizations 
instrument	 used for music performance 
internet	 sources of information 
island	 natural landforms 
language	 tools for communication 
law	 legal professions 
lawyer	 professions in law 
league	 types of sports organizations 
legal	 types of professions 
leisure	 time periods 
library	 places to learn 
living thing	 alive 
mass transit	 transportation 
medicine	 located in cabinets 
military	 types of organizations 
mobile phone	 devices for taking pictures or videos 
monarch	 butterfly 
mountain	 natural landscapes 
music	 part of a dance performance 
musician	 involved in music performance 
music school	 places of learning 
natural disaster	 disaster 
news	 types of media 
news agency	 sources of news 
other	 types of restaurants 
park	 green spaces 
planet	 celestial objects 
play	 cause laughs 
political party	 types of organizations 
politician	 involved in politics 
product	 part of marketing mix 
programming language	 languages 
protest	 expression 
province	 geographic regions 
rail	 part of a train 
railway	 modes of transportation 
religion	 important to many people 
religious leader	 types of leaders 
restaurant	 places to eat 
road	 types of terrain 
scientific method	 part of scientific inquiry 
ship	 used for water transportation 
sign	 forms of communication 
society	 human activities 
software	 components of a computer 
soldier	 military ranks 
spacecraft	 used for space exploration 
sport	 cause injuries 
stage	 part of a theatrical performance 
stock exchange	 financial institutions 
structure	 components of a building 
subway	 types of public transportation 
team	 components of a sports game 
television channel	 types of media 
television network	 types of media 
television program	 types of media 
theater	 types of performing arts 
title	 components of a book 
train	 modes of transportation on land 
transit	 types of transportation 
transportation	 modes of travel 
treatment	 medical care 
water	 essential for life 
weapon	 weapons used in war 
website	 types of digital media 
writing	 used for communication 
abbey	 types of religious buildings 
ability	 part of characterization 
abortion	 illegal in many countries 
absence	 lack 
abuse	 bad 
academic	 types of schools 
academic discipline	 discipline 
academic institution	 institutions 
academy	 types of educational institutions 
academy award	 associated with the film industry 
accent	 language features 
acceptance	 positions 
access	 located in internet cafes 
access control	 control 
accession	 access 
access road	 roads 
acclaim	 publicity 
accord	 agreement 
accordance	 conformity 
accounting	 business 
account manager	 professions 
accuracy	 quality 
ace	 cards in a deck 
achievement	 accomplishment 
acid	 chemical compounds 
acquisition	 purchases 
acre	 units of measurement 
act	 performance 
action	 part of a movie plot 
action figure	 used for play 
action film	 types of movies 
action group	 association 
action movie	 types of movies 
active volcano	 volcanic regions 
activist	 involved in social movements 
activity	 cause fatigue 
actress	 performing arts professions 
adaptation	 part of evolution 
addiction	 causes withdrawal 
addition	 components of mathematics 
address	 components of a letter 
address book	 organizational tools 
adjustment	 improvement 
administration	 management 
administrator	 involved in computer maintenance 
admiral	 navy ranks 
adoption	 legal proceedings 
adult	 stages of life 
advance	 cash 
advancement	 progress 
adventure	 types of video games 
adventure game	 types of video games 
advertisement	 types of media 
advertising	 advertisements 
advice	 information 
adviser	 professionals 
advisor	 professionals 
advisory	 recommendations 
advocacy	 campaigns 
advocate	 legal professions 
aerospace	 types of engineering 
affair	 relationship 
