concept	facet	property	facet_property	cluster_label
pairs	used for	identifying	used for: identifying	0
vault	access	biometric	access: biometric	0
vault	access	password	access: password	0
pairs	uses	identification	uses: identification	0
vault	access	biometric scan	access: biometric scan	0
walk	accessory	umbrella	accessory: umbrella	1
walk	equipment	umbrella	equipment: umbrella	1
balance beam	features	apron	features: apron	1
walk	accessory	hat	accessory: hat	1
air rifle	accuracy	high	accuracy: high	2
air pistol	accuracy	high	accuracy: high	2
rapid fire pistol	range	long	range: long	2
air pistol	accuracy	highly accurate	accuracy: highly accurate	2
air rifle	accuracy	high-powered	accuracy: high-powered	2
rapid fire pistol	accuracy	high	accuracy: high	2
air rifle	accuracy	highly accurate	accuracy: highly accurate	2
rapid fire pistol	accuracy	low	accuracy: low	2
air pistol	accuracy	long-range	accuracy: long-range	2
air rifle	range	long	range: long	2
skeet	related skills	shooting accuracy	related skills: shooting accuracy	2
air rifle	features	accurate	features: accurate	2
air pistol	range	short	range: short	2
air rifle	range	short	range: short	2
rapid fire pistol	range	short	range: short	2
air rifle	accuracy	low	accuracy: low	2
women's team	achievement	participant	achievement: participant	3
medal winners	performance	historic win	performance: historic win	3
medal winners	achievement	most improved	achievement: most improved	3
medal winners	achievement	highest jump	achievement: highest jump	3
women's team	achievement	champion	achievement: champion	3
medal winners	achievements	winning a gold medal	achievements: winning a gold medal	3
medal winners	achievement	repeat champion	achievement: repeat champion	3
race	winner	title	winner: title	3
race	winner	receives recognition	winner: receives recognition	3
medal winners	achievement	first-time winner	achievement: first-time winner	3
women's team	achievement	runner-up	achievement: runner-up	3
athlete	achievements	being a role model	achievements: being a role model	3
track and field	goals	personal best	goals: personal best	4
all-rounder	achievements	record-breaking	achievements: record-breaking	4
all-rounder	achievements	record-breaking performances	achievements: record-breaking performances	4
medal winners	achievement	most goals scored	achievement: most goals scored	4
pole vault	record	fastest time	record: fastest time	4
medal winners	achievement	record holder	achievement: record holder	4
super g	awarded for	fastest time	awarded for: fastest time	4
medal winners	achievement	fastest time	achievement: fastest time	4
medal winners	achievements	fastest time	achievements: fastest time	4
medal winners	performance	personal best	performance: personal best	4
medal winners	performance	record-breaking	performance: record-breaking	4
all-round	achievements	awards	achievements: awards	5
all-rounder	achievements	awards	achievements: awards	5
all-rounder	achievements	records	achievements: records	5
synchronized platform	challenges	performance	challenges: performance	5
all-round	achievements	success	achievements: success	5
all-rounder	achievements	success in multiple fields	achievements: success in multiple fields	5
athlete	achievement	award	achievement: award	5
medal winners	achievement	most points	achievement: most points	5
men's team	performance	winning championships	performance: winning championships	5
medal winners	achievement	first place	achievement: first place	5
athlete	achievement	record	achievement: record	5
medal winners	achievement	highest score	achievement: highest score	5
athlete	achievement	title	achievement: title	5
medal winners	achievement	second place	achievement: second place	5
medal winners	achievement	third place	achievement: third place	5
gymnastics team competition	objective	best overall performance	objective: best overall performance	5
athlete	performance	getting medals	performance: getting medals	5
medal winners	achievements	most goals	achievements: most goals	5
all-rounder	achievements	multiple awards	achievements: multiple awards	5
all-rounder	achievements	team success	achievements: team success	5
synchronized springboard	format	team performance	format: team performance	5
athlete	achievements	winning competitions	achievements: winning competitions	5
all-rounder	achievements	championships	achievements: championships	5
medal winners	achievements	best performance	achievements: best performance	5
medal winners	achievements	highest score	achievements: highest score	5
medal winners	achievement	best performance	achievement: best performance	5
medal winners	achievement	team victory	achievement: team victory	5
medal winners	category	champions	category: champions	6
women's team	reputation	championship-winning	reputation: championship-winning	6
all-rounder	achievements	century scorer	achievements: century scorer	6
all-rounder	professional career	adored by fans	professional career: adored by fans	6
all-rounder	achievements	try scorer	achievements: try scorer	6
long jump	record holders	mike powell	record holders: mike powell	6
all-rounder	achievements	grand slam winner	achievements: grand slam winner	6
all-rounder	achievements	hat-trick taker	achievements: hat-trick taker	6
biathlon	techniques	tracking	techniques: tracking	7
biathlon	event	pursuit	event: pursuit	7
pursuit	meaning	chasing	meaning: chasing	7
trap	avoidance	patrol	avoidance: patrol	7
pursuit	actions involved	chasing	actions involved: chasing	7
pursuit	actions involved	pursuing	actions involved: pursuing	7
pursuit	definition	chasing something	definition: chasing something	7
biathlon	disciplines	pursuit	disciplines: pursuit	7
pursuit	meaning	going after	meaning: going after	7
pursuit	definition	act of chasing	definition: act of chasing	7
pursuit	definition	chasing after	definition: chasing after	7
biathlon	events	pursuit	events: pursuit	7
aquatics	activities	boating	activities: boating	8
keelboat	activity	cruising	activity: cruising	8
dinghy	activities	sailing	activities: sailing	8
skiff	activities	sailing	activities: sailing	8
keelboat	activity	sailing	activity: sailing	8
summer games	events	sailing	events: sailing	8
heavyweight dinghy	activity	sailing	activity: sailing	8
skiff	activities	cruising	activities: cruising	8
dinghy	features	rowing	features: rowing	8
downhill	activity	exploring	activity: exploring	9
diving	activity	exploring	activity: exploring	9
diving	goals	exploration	goals: exploration	9
diving	activities	exploration	activities: exploration	9
diving	purpose	exploration	purpose: exploration	9
walk	purpose	exploration	purpose: exploration	9
diving	goal	observing marine life	goal: observing marine life	9
dinghy	usage	recreational	usage: recreational	10
keelboat	purpose	recreational	purpose: recreational	10
cycling track	purpose	recreational	purpose: recreational	10
skating	purpose	recreational	purpose: recreational	10
trampoline	purpose	recreational	purpose: recreational	10
springboard	purpose	recreational	purpose: recreational	10
heavyweight dinghy	purpose	recreational	purpose: recreational	10
dinghy	purpose	recreational	purpose: recreational	10
air rifle	uses	recreational	uses: recreational	10
cycling track	event	recreational	event: recreational	10
synchronized swimming	events	free solo	events: free solo	10
downhill	activity	adventure	activity: adventure	10
mixed team	purpose	recreational	purpose: recreational	10
springboard	usage	recreational	usage: recreational	10
keelboat	usage	recreational	usage: recreational	10
cycling road	usage	recreational	usage: recreational	10
skiff	usage	recreational	usage: recreational	10
participates in	nature	recreational	nature: recreational	10
cycling	activity	indoor	activity: indoor	10
air rifle	category	recreational	category: recreational	10
archery	activity	recreational	activity: recreational	10
windsurfer	activity	recreational activity	activity: recreational activity	10
figure skating	activity	recreational activity	activity: recreational activity	10
skating	activity	recreational activity	activity: recreational activity	10
skeet	category	recreational activity	category: recreational activity	10
men's team	activity	playing	activity: playing	10
trampoline	activity	playing	activity: playing	10
swimmer	activity	recreational	activity: recreational	10
air rifle	purpose	recreational	purpose: recreational	10
cycling	activity type	recreational	activity type: recreational	10
downhill	activity	thrilling	activity: thrilling	10
skiing	type	recreational activity	type: recreational activity	10
sailing	type	recreational activity	type: recreational activity	10
figure skating	type	recreational activity	type: recreational activity	10
archery	type	recreational activity	type: recreational activity	10
volleyball	type	recreational activity	type: recreational activity	10
skiff	purpose	recreational	purpose: recreational	10
skating	activity level	recreational	activity level: recreational	10
cross country skiing	activity type	recreational	activity type: recreational	10
diving	activities	competitive	activities: competitive	10
summer sport	recreational	yes	recreational: yes	10
winter sport	recreational	family activity	recreational: family activity	10
women's team	reputation	recreational	reputation: recreational	10
winter sport	recreational	social event	recreational: social event	10
aquatics	importance	recreational use	importance: recreational use	10
summer sport	recreational	no	recreational: no	10
alpine skiing	type	recreational activity	type: recreational activity	10
diving	purpose	recreational	purpose: recreational	10
athletics	skill level	recreational	skill level: recreational	10
sailing	activity	recreational activity	activity: recreational activity	10
air pistol	purpose	recreational	purpose: recreational	10
sailing	activity type	recreational activity	activity type: recreational activity	10
skiing	activity type	recreational activity	activity type: recreational activity	10
participates in	purpose	for fun	purpose: for fun	10
women's team	purpose	for fun	purpose: for fun	10
race	purpose	for fun	purpose: for fun	10
summer sport	social aspect	recreational fun	social aspect: recreational fun	10
mixed team	purpose	recreational activity	purpose: recreational activity	10
fencing	purpose	recreational activity	purpose: recreational activity	10
skiing	leisure	recreational	leisure: recreational	10
archery	activity	recreational activity	activity: recreational activity	10
swimmer	skill level	recreational	skill level: recreational	10
marathon	event type	recreational	event type: recreational	10
race	event type	recreational	event type: recreational	10
cycling	activity type	indoor	activity type: indoor	10
keelboat	type	recreational	type: recreational	10
long jump	types	recreational	types: recreational	10
aquatics	importance	recreational	importance: recreational	10
participates in	type of activity	physical	type of activity: physical	10
cycling track	purpose	sport	purpose: sport	10
cycling	purpose	sport	purpose: sport	10
sailing	purpose	sport	purpose: sport	10
pursuit	definition	activity undertaken for pleasure	definition: activity undertaken for pleasure	10
downhill	activity	recreational	activity: recreational	10
walk	activity	recreational	activity: recreational	10
sailing	activity	recreational	activity: recreational	10
diving	activity	recreational	activity: recreational	10
skating	activity	recreational	activity: recreational	10
cycling	activity	recreational	activity: recreational	10
archery	type	recreational	type: recreational	10
cycling	type	recreational	type: recreational	10
trampoline	type	recreational	type: recreational	10
walk	activity	physical	activity: physical	10
skiing	activity	physical	activity: physical	10
summer sport	popular	recreational activity	popular: recreational activity	10
team event	type	recreational	type: recreational	10
sailing	type	recreational	type: recreational	10
snowboard	type	recreational	type: recreational	10
air pistol	type	recreational	type: recreational	10
wrestling	type	recreational	type: recreational	10
artistic gymnastics	type	recreational	type: recreational	10
diving	activities	recreational	activities: recreational	10
diving	activity	recreational activity	activity: recreational activity	10
pursuit	types	recreational	types: recreational	10
women's team	type	recreational	type: recreational	10
keelboat	purpose	leisure	purpose: leisure	11
cycling	cultural significance	recreation	cultural significance: recreation	11
sailing	activity	relaxing	activity: relaxing	11
diving	activity	relaxing	activity: relaxing	11
walk	activity	leisure	activity: leisure	11
downhill	activity	leisure	activity: leisure	11
aquatics	importance	recreation	importance: recreation	11
sailing	purpose	leisure	purpose: leisure	11
walk	purpose	leisure	purpose: leisure	11
cycling	purpose	leisure	purpose: leisure	11
dinghy	purpose	recreation	purpose: recreation	11
walk	activity	daily routine	activity: daily routine	11
walk	activity	leisure activity	activity: leisure activity	11
diving	purpose	recreation	purpose: recreation	11
skating	purpose	recreation	purpose: recreation	11
track and field	purpose	recreation	purpose: recreation	11
race	purpose	recreation	purpose: recreation	11
mixed team	purpose	recreation	purpose: recreation	11
springboard	purpose	recreation	purpose: recreation	11
cycling	purpose	recreation	purpose: recreation	11
walk	purpose	recreation	purpose: recreation	11
sailing	purpose	recreation	purpose: recreation	11
men's team	purpose	recreation	purpose: recreation	11
participates in	type of activity	mental	type of activity: mental	11
backstroke	purpose	recreation	purpose: recreation	11
pursuit	activity	interest	activity: interest	11
skating	activity level	leisure	activity level: leisure	11
walk	type	leisure	type: leisure	11
sailing	type	leisure	type: leisure	11
skiing	leisure	hobby	leisure: hobby	11
participates in	type of activity	intellectual	type of activity: intellectual	11
cycling	event	leisure	event: leisure	11
athlete	activity	recreation	activity: recreation	11
cycling	activity	recreation	activity: recreation	11
sailing	popularity	relaxing activity	popularity: relaxing activity	11
diving	goals	recreation	goals: recreation	11
equestrian	activity	horse training	activity: horse training	12
modern pentathlon	definition	horse riding	definition: horse riding	12
equestrian	activity	horse breeding	activity: horse breeding	12
equestrian	activity	riding	activity: riding	12
downhill	activity	riding	activity: riding	12
modern pentathlon	definition	riding	definition: riding	12
equestrian	activity	horse riding	activity: horse riding	12
fencing	activity	horse riding	activity: horse riding	12
equestrian	activity	horseback riding	activity: horseback riding	12
modern pentathlon	events	riding	events: riding	12
modern pentathlon	disciplines	equestrian	disciplines: equestrian	12
equestrian	discipline	dressage	discipline: dressage	12
equestrian	training	horse riding lessons	training: horse riding lessons	12
equestrian	activity	horse care	activity: horse care	12
triathlon	distance	1.5 km swim	distance: 1.5 km swim	13
triathlon	distance	typically 1500m swim	distance: typically 1500m swim	13
medal winners	sport	swimming	sport: swimming	13
water polo	sport	swimming	sport: swimming	13
backstroke	swimming style	recreational	swimming style: recreational	13
modern pentathlon	definition	swimming	definition: swimming	13
summer games	event	swimming	event: swimming	13
olympic sport	popular sports	swimming	popular sports: swimming	13
springboard	activity	swimming	activity: swimming	13
athlete	activity	swimming	activity: swimming	13
springboard	purpose	compete in diving	purpose: compete in diving	13
diving	water activity	swimming	water activity: swimming	13
breaststroke	swimming style	swimming	swimming style: swimming	13
modern pentathlon	disciplines	swimming	disciplines: swimming	13
aquatics	activities	swimming	activities: swimming	13
springboard	type	swimming	type: swimming	13
water polo	type	swimming	type: swimming	13
backstroke	swimming style	competitive	swimming style: competitive	13
springboard	activity	water polo	activity: water polo	13
breaststroke	type	recreational swimming	type: recreational swimming	13
breaststroke	type	competitive swimming	type: competitive swimming	13
summer games	event type	swimming	event type: swimming	13
water polo	gameplay	swimming	gameplay: swimming	13
