concept	property	cluster_label
biometrics	medium	0
biometrics	variable	0
pneumatics	high accuracy	0
metrology	precise	0
numerical analysis	accuracy	0
metrology	exact	0
metrology	reliable	0
partial correlation	increased precision	0
metrology	ensuring accuracy	0
biometrics	low	0
orthoepy	phonetic accuracy	0
metrology	high precision	0
geodesy	accurate mapping	0
metrology	ensures accuracy	0
triangulation	accuracy	0
metrology	precision	0
biometrics	dependent on method	0
triangulation	precise	0
triangulation	accurate	0
biometrics	high	0
metrology	accurate measurement	0
finance	saving	1
finance	saving	1
finance	saving	1
finance	saving	1
silviculture	planting trees	2
forestry	planting	2
agronomy	planting	2
silviculture	planting	2
silviculture	tree planting	2
silviculture	planting	2
pomology	gardens	2
agronomy	sowing	2
forestry	planting	2
forestry	tree planting	2
forestry	harvest wood	3
silviculture	harvesting	3
agronomy	harvesting	3
forestry	harvesting	3
silviculture	harvesting	3
home economics	household chores	3
forestry	harvesting	3
agronomy	plowing	3
agronomy	harvesting	3
finance	borrowing	4
finance	borrowing	4
forensic medicine	theft	4
finance	borrowing	4
finance	borrowing	4
finance	borrowing	4
finance	borrowing	4
finance	lending	4
finance	borrowing	4
finance	lending	4
finance	return	4
finance	borrowing	4
oology	collecting	4
etymology	borrowing	4
economics	politicians	5
psephology	politicians	5
realpolitik	politicians	5
realpolitik	statesmen	5
politics	politicians	5
geopolitics	leaders	5
geopolitics	politicians	5
politics	politicians	5
politics	bureaucrats	5
politics	citizens	5
politics	lobbyists	5
politics	lobbyists	5
economics	producers	5
geopolitics	international organizations	6
geopolitics	ngos	6
geopolitics	international organizations	6
politics	interest groups	6
geopolitics	countries	7
geopolitics	nations	7
geopolitics	nations	7
economic geography	nations	7
geopolitics	nations	7
economics	government	8
geopolitics	governments	8
economics	governments	8
geopolitics	governments	8
geopolitics	governments	8
geopolitics	non-state actors	8
finance	governments	8
mycology	antifungals	9
photochemistry	antimicrobial coatings	9
mycology	fungicides	9
medicine	ointment	9
therapeutics	topical	9
pharmacogenetics	avoiding adverse reactions	9
medicine	applied topically	9
medicine	topical	9
nonparametric statistics	robust to outliers	10
nonparametric statistics	robust to outliers	10
femtochemistry	extremely short timescale	10
nonparametric statistics	robust to outliers	10
nonparametric statistics	robust	10
realpolitik	unstable	10
nonparametric statistics	easy to implement	10
nonparametric statistics	resistant to outliers	10
biometrics	easy	10
thermionics	low power consumption	10
psychometry	not replicable	10
prosthetics	customizable	11
spurious correlation	can be used to manipulate data	11
nonparametric statistics	no assumptions on data distribution	11
nonparametric statistics	simple to implement	11
nonparametric statistics	can handle non-normal data	11
avionics	software-based	11
memory	ability to store and retrieve information	11
nonparametric statistics	ability to handle non-normal data	11
prosthetics	enhanced mobility	12
functional anatomy	improving human movement	12
prosthetics	improve mobility	12
prosthetics	restoring mobility	12
prosthetics	increased mobility	12
geriatrics	older adults	13
geriatrics	frail elderly	13
geriatrics	older adults	13
dietetics	overweight	13
geriatrics	65+	13
hygiene	elderly	13
geriatrics	older adults	13
geriatrics	elderly	13
geriatrics	elderly	13
internal medicine	elderly	13
geriatrics	seniors	13
geriatrics	seniors	13
geriatrics	seniors	13
geriatrics	65 and above	13
orthodontics	adults	13
geriatrics	senior citizens	13
geriatrics	65+	13
orthodontics	elderly	13
geriatrics	senior citizens	13
geriatrics	elderly	13
developmental psychology	old age	13
geriatrics	elderly people	13
geriatrics	old age	13
orthodontics	children	14
hygiene	children	14
developmental psychology	childhood	14
pediatrics	childhood	14
orthodontics	children	14
developmental psychology	infancy	14
pediatrics	infancy	14
proxemics	different age groups	14
neonatology	infancy	14
pediatrics	newborn to adolescence	14
developmental psychology	adolescence	14
pediatrics	adolescence	14
geriatrics	young-old	14
triangulation	iterative method	15
triangulation	approximating	15
triangulation	simpson's paradox	15
triangulation	recursive function	15
triangulation	ear's algorithm	15
linear programming	gradient method	15
triangulation	algorithmic process	15
triangulation	ear clipping	15
triangulation	delaunay triangulation	15
cryptanalysis	algorithmic	15
triangulation	schnorr's algorithm	15
fourier analysis	fast fourier transform	15
linear algebra	linear independence	15
triangulation	step-by-step process	15
linear programming	simplex method	15
triangulation	iterative	15
differential calculus	chain rule	15
triangulation	recursive	15
problem solving	recursive	15
triangulation	finding	15
applied mathematics	linear programming	15
applied mathematics	linear programming	15
problem solving	algorithmic	15
problem solving	algorithmic	15
fourier analysis	cooley-tukey algorithm	15
geography	urbanization	16
economic geography	urbanization	16
physical geography	urbanization	16
architectonics	city	16
economic geography	urbanization	16
economic geography	urbanization	16
demography	population growth	16
geology	human settlements	16
economic geography	urbanization	16
microeconomics	behaviour of consumers	17
analysis	identifying trends	17
microeconomics	behaviour of firms	17
microeconomics	consumer behavior	17
microeconomics	price determination	17
microeconomics	consumer behavior	17
social science	analyzing social trends	17
microeconomics	consumers	17
dermatoglyphics	palms	18
anatomy	skin	18
microscopic anatomy	skin	18
anatomy	skin	18
regional anatomy	skin	18
regional anatomy	subcutaneous	18
regional anatomy	bone	19
anatomy	bone	19
orthopedics	bone	19
periodontics	bone	19
anatomy	ribcage	19
anatomy	bone	19
periodontics	bone	19
anatomy	vertebrae	19
urology	pelvis	19
dental anatomy	fossa	19
clinical anatomy	anatomical structures	19
regional anatomy	bones	19
regional anatomy	bone	19
anatomy	skull	19
anatomy	bone	19
anatomy	skeleton	19
anatomy	muscle	20
anatomy	muscle	20
myology	muscle structure	20
regional anatomy	muscles	20
gross anatomy	muscular system	20
regional anatomy	muscle	20
anatomy	muscular system	20
anatomy	arm	20
memory	muscle	20
regional anatomy	muscle	20
regional anatomy	tendons	20
anatomy	back	20
regional anatomy	muscular	20
microscopic anatomy	muscle	20
anesthesiology	general anesthesia	21
anesthesiology	general anesthesia	21
anesthesiology	local anesthesia	21
anesthesiology	regional anesthesia	21
anesthesiology	regional	21
anesthesiology	general	21
anesthesiology	induction of anesthesia	21
cosmetic dentistry	anesthesia	21
anesthesiology	gas anesthesia	21
therapeutics	acute condition	21
exodontics	anesthesia	21
anesthesiology	regional anesthesia	21
veterinary medicine	animal anesthesia	21
exodontics	general anesthesia	21
dental surgery	local	21
anesthesiology	local	21
surgery	local	21
dental surgery	local	21
dental surgery	general	21
anesthesiology	local anesthesia	21
surgery	general	21
exodontics	local anesthesia	21
surgery	sedation	21
dental surgery	sedation	21
dental surgery	general	21
surgery	conscious	21
problem solving	academic	22
oology	education	22
social psychology	education	22
cognitive psychology	education	22
civics	classroom	22
anatomy	education	22
social science	education	22
psychology	education	22
experimental psychology	education	22
ichthyology	education	22
lepidopterology	education	22
developmental psychology	education	22
sociolinguistics	education	22
civics	public education	22
social science	education	22
taxonomy	education	22
electronics	education	22
social psychology	education	22
neuropsychiatry	education	22
sociology	education	22
civics	school	22
cognitive neuroscience	education	22
social science	education	22
cognitive science	education	22
experimental psychology	education	22
social psychology	education	22
