disagreement	skepticism, unanimity, hesitation, division, opposition	difference in opinion, lack of consensus, conflict of views, reservation
graphic novel	comics	illustrated story, sequential art, full-color illustrations, long-form storytelling, mature themes, complex characters, multi-volume stories, graphic narrative
gas station	provides fuel for vehicles, accepts various payment methods	offered products include snacks and drinks, typically located near highways or roads, facilities may include restrooms and atms, can be a 24-hour operation, has a canopy or overhang for shelter, dispenses different types of fuel, can be a franchise or independent business, may offer car wash services
adjacent	proximate, close, aligned, near, contiguous	side by side, touching, juxtaposed, next to
grand prize	awarded, monetary, honor, prestigious, winning, prize, winner, valuable, competition, large	
lemon	used in cooking, has a distinct smell, grows on trees, can be used for cleaning	sour taste, yellow color, high water content, acidic juice, has vitamin c, can be squeezed for juice
variety store	offers online shopping options, offers loyalty programs, offers discounts and promotions, has a loyal customer base	offers wide selection of products, carries different brands and types, has affordable prices, has convenient location, has friendly and helpful staff, open late hours
social life	interpersonal relationships, social change, social identity, social interactions, social norms, group dynamics, cultural influences, emotions, communication	
cigarette	quit, addictive, withdrawal, smoke, harmful, health	cancer-causing, nicotine, tobacco, lung
council estate	community spirit, local amenities, public spaces, low-income residents, affordable housing, safety concerns, public transportation	urban planning, social mixity
free software	compatible with other software	open source, free and gratis, user freedom, community driven, modifiable and adaptable, cost-free, non-proprietary, not controlled by a single entity, compatible with different operating systems
sub	understood, rejection, exclusion, belonging, intersectionality, power dynamics, identity, social status	group membership
mike	likes, dislikes, goals, personality, hobbies, interests, occupation, name, age, gender	
garden path	greenery, winding, steep, rocky, narrow	shaded, overgrown, water feature, blooming flowers
drilling	uses tools, can be used for construction, requires effort	creates hole, can be done underground, can be used for water, can be used for oil, can be used for minerals, can be used for exploration
vertebrate	has a circulatory system, has a tail	has backbone, has internal organs, has four limbs, has a dorsal hollow nerve cord, has a skull, has a spinal cord, has a brain, has a notochord
fashion plate	can be used for personal or professional purposes	visual representation of clothing styles, used for inspiration and ideas, can be created digitally or physically, can showcase different outfits and looks, can be used by fashion designers and enthusiasts, can be shared and accessed online, can be created with various mediums such as paper, fabric, or software, can be used to showcase trends and styles, can be used to create mood boards and inspiration boards
court	sentence, jury, defendant, lawyer, judge, verdict, judicial, trial, legal	plaintiff
cat food	palatable, dental health, moisture content, flavorful, variety, nutritious	protein content, carbohydrate content, fat content
rose garden	tender, serene, romantic, fragrant, delicate, peaceful, beautiful, colorful	blooming, thorny
warehouse	can be used for manufacturing	large storage facility, houses goods and products, has loading docks and shipping areas, can be used for inventory management, can be used for distribution, can be temperature-controlled, has aisles and shelves for organization, can be used for logistics and supply chain management
instant coffee	can be stored for long periods, quick, convenient	pre-dried, easy to prepare, no need for brewing, ground coffee, varies in flavor and quality, may contain additives or preservatives
coral	vulnerable to climate change, critical for maintaining biodiversity	coral is a living organism, found in warm, shallow waters, colors range from pink to white, important habitat for marine life, can be used in jewelry and decorations, provides shelter for fish and crustaceans, nutrient-rich environment for marine life, can form complex ecosystems
output device	can connect to the internet, produces sound	displays visual content, can connect to devices, has buttons for control, can output to multiple devices, can play multimedia content, has a screen or display, can output to a projector, has a speaker or headphone jack
dead man	defunct, gone, non-living, no longer alive	deceased, lifeless, inanimate, ex-person, devoid of vitality
master data	well-organized, usable, up-to-date, complete, current, secure, accurate, reliable, consistent	
preferred	sought after, prized, personal preference, valued, unique	desired or chosen over other options, individualized, customized, optimal, preferred over others
cooking	satisfying, therapeutic, aromatic, flavorful, variety, tasty, creative, nutritious, cultural, social	
calamity	sudden and unexpected, requires emergency response, unforeseen event	natural disaster, human-made disaster, catastrophic event, widespread destruction, loss of life and property, social and economic impact, causes widespread suffering
laugh track	can be used to create a sense of community	recreates realistic audience reactions, used in comedy shows and films, can be programmed to match different emotions, adds humor to a scene, can be created using different sounds, can be used to enhance a comedy routine, can be mixed with other sounds for a unique effect, is often used in sitcoms and stand-up comedy, can be used to make a scene more entertaining
raw	unchanged, unprocessed, unrefined, untamed, unmodified, unaltered, natural	uncooked, unadulterated
guinea	former british colony, landlocked country, african country, rich cultural heritage	official language: french, capital city: conakry, currency: guinean franc, population: approximately 12 million, bordered by sierra leone, liberia, côte d'ivoire, mali, and guinea-bissau, home to several ethnic groups
briefing note	contact information	summary of key points, background information, recommendations or actions, timeline or deadlines, decision makers or stakeholders, next steps or action items, attachments or supporting documents, distribution list or audience, format or style guide
timing	cadence, timeliness, clockwork, timing, precision, rhythm, accuracy, duration	punctuality
imam	community figure, teacher, cultural icon, spiritual guide, religious leader, historical figure	interpreter of islamic law, preacher, scholar
electric motor	can be powered by renewable energy sources, requires power source, can be used in various industries, can be used for various applications	uses electricity to generate torque, consists of magnets, coils, and a stator, produces rotational motion, efficient when operated at high speeds, can be controlled by a controller, can be made in various sizes
evaluator	makes recommendations, assesses knowledge and skills, provides feedback, makes decisions	objective and unbiased, uses criteria and standards, provides accountability, evaluates based on evidence, ensures quality, justifies conclusions
land	uninhabited, uncontrolled, terrestrial, geographical, surface, solid, natural	uncolonized, unowned
dam	provides irrigation, can be used for flood control, supports aquatic life, regulates water flow, can be used for drinking water supply, generates electricity, holds water	impounds a river, creates a reservoir
first aid	bleeding, saves lives, burns, medication, prevention	treats injuries, cpr, bandaging, poisoning
acting	physicality, authenticity, authenticity, vulnerability, vulnerability, commitment, expression, creativity	emotional range
screening room	large screen, immersive experience, audio equipment, acoustic design, comfortable seating	multiple seats, darkened room, limited audience, films or videos shown, controlled environment
coal bed	can cause environmental pollution, can be used for industrial purposes, underground	comprises sedimentary rock, formed over millions of years, rich in carbon and energy, can be mined for fuel, may contain other minerals, requires specialized mining techniques
tribute	expresses gratitude	paid to show respect or gratitude, given as a sign of appreciation, acknowledges someone's contribution, expresses gratitude or admiration, display of appreciation, acknowledges someone's effort, shows respect, acknowledges someone's sacrifice, acknowledges someone's service
sheep	herding, grazing	4-legged, wool-producing, baa-ing, eat grass, are ruminants, have hooves, can be sheared, have a bell
ballistic missile	guided, steering, long-range, flight, nuclear, explosive, destructive, accurate, fast	warhead
effect	can be used to describe a wide range of phenomena, may have unintended consequences, can be influenced by various factors	causes a change or alteration in something, can be either positive or negative, may be immediate or long-term, can be observed or measured, is often used in various fields such as psychology, biology, and physics, can be studied through various methods such as observation, experimentation, and modeling
crew chief	provides customer service and support	supervises and leads a team of technicians, coordinates and schedules maintenance and repairs, ensures compliance with safety regulations, manages inventory and supplies, monitors and reports on equipment performance, trains and mentors team members, makes decisions on equipment allocation and usage, coordinates with other departments, maintains accurate records and reports
bride price	can be a source of conflict or tension	paid by groom's family, traditional practice in many cultures, amount varies by culture and location, often seen as form of compensation, can be controversial or criticized, related to issues of gender and inequality, can be influenced by social and economic factors, not universally practiced or accepted
jury	sentencing, verdict, group of people, trial, impartial, legally binding, independent	deliberate on evidence, make decisions, judicial system
rose window	artistic value, religious significance, ornate, circular shape, historical significance, colorful	stained glass, geometric patterns, intricate design
exploration	investigate, explore, uncharted, awe-inspiring, unfamiliar, discovery, journey, new, travel	
blog roll	user-friendly, customizable	list of blogs, organized by category, updated regularly, links to latest posts, shares content, enhances blog's reach, diverse content, multiple platforms
head man	decision maker, respected, spokesperson, ambassador, leader, representative, influential, authority	figurehead
moment	relative, fleeting, precise, memorable, emotive, universal, measurable, unpredictable	instant in time
civil war	human rights violations	conflict between different groups within a country, violence and destruction of property, loss of life and displacement of people, political and social divisions, historical and cultural factors, military tactics and strategies, international involvement, post-conflict reconstruction and healing
trans fat	artificially created, unsaturated	increases ldl cholesterol, found in some processed foods, possible health risks, decreases hdl cholesterol, limited fda regulation, commonly found in baked goods, avoid excessive consumption, may be listed as 'hydrogenated oil'
noted	origin:, uses:, meaning:, synonyms:, antonyms:, importance:, examples:, types:, definition:	
moon landing	apollo 11, scientific experiments, historic event	first human landing, neil armstrong, buzz aldrin, july 1969, space race, nasa mission, moonwalk
trustee	acts in best interest	legal representative, fiduciary duty, authorized decision maker, accountable for assets, responsible for management, subject to legal oversight, accountable to beneficiaries, must act impartially
tuberculosis	can lead to serious complications if left untreated, can be prevented with vaccination	infectious disease caused by mycobacterium tuberculosis, most common in lungs, but can affect any organ, spreads through airborne droplets, incubation period typically 2-10 weeks, symptoms include coughing, fatigue, weight loss, treated with antibiotics, but resistance is growing, worldwide epidemic, particularly in developing countries, vaccine is available for high-risk individuals
oak tree	acorns, deciduous, long lifespan, tall, adaptable, large	broad canopy, slow growth, deep roots, important habitat
ceasefire	truce	end hostilities, cessation of fighting, armistice, settlement of dispute, end of conflict, halt to violence, peace agreement, settlement of differences
bow	compound, straight, curved, round	bowed, recurve, self-bow, recurved, shortbow, longbow
user	consumer, organism, living being, person, individual, human	customer, online user, digital citizen
eating	hunger, social occasion, personal preference, satisfaction, taste, variety, texture, frequency	nourishment
eastern europeans	cultural diversity, geographical location	historical complexity, linguistic variety, social and political differences, ethnic identity, economic disparities, cultural exchange and influence, contemporary issues and challenges
drake	singer-songwriter, actor, producer	canadian rapper, grammy award winner, social media influencer, sex symbol, platinum-selling artist, lgbtq+ icon, touring artist
